stage,epidermis,eye,glial,gut,mesenchyme,neural,olfactory,periderm,visceral.smooth.muscle
 24-34,0,0,0,0,0,1,43.82,0.72,0
 36-46,0,0,0,0,0,1.29,336,2.93,0
 48-58,0,0.87,0,0,0,1.7,13.44,0,0
 60-70,0,1.16,0,0,0,11.13,150.45,0,0
 72-82,0,0,6.65,0,1.74,0,345.44,0,0
 84-94,3.09,0,0,0,0,0,98.6,0,0
 96-106,0.77,5.61,0,1.39,0,1.3,294.7,0,0
108-118,0,8.43,0.94,0,0.99,2.71,76.36,0,1.93
120,0,0,0,0,0,0,189.26,0,0
