stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,12.69,295.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,26.79,173.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.02,0,0,0,0,9.26,0,0,0,0,0,0,0,0,0
  7-9,4.72,0,4.71,0,0,10.23,0,0,0,0,0,0,0,0,0,0,0,0,0,111.73,0,0,0,16.52,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.3,0,0,0,61.37,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.86,7.46,0.92,5.18,0,0,1.35,0,0,0,0,0,1.08,7.87,0,0,4.51,65.29,1.42,0,0.89,2.02,0.83,4.35,0,7.14,20.21,0,0,0,0,0
 24-34,0,0,0,3.8,0,8.84,1.06,0,1.25,0,0,0,0,1.09,0,11.97,0,0,2.35,117.48,1.43,0,0,0,12.57,0,0,0,18.15,0,0,1.78,0,0
 36-46,0,0,0,3.65,0,14.52,0,0,2.56,0,2.12,0,0,0,0,7.02,0,0,3.06,54.72,0,0,0.61,0,7.83,0,0,0,8.27,0,0,0,0,2.72
 48-58,0,0,0,0,0,32.71,0,0,9.93,0,0,0,0.63,0,0,7.65,0,0.44,1.17,35.39,3.86,0,0.46,0,0.53,0,0,0,9.07,0,0,2.55,0,0
 60-70,0,0,0,0,0,4.81,0,0,8.58,0,0,2.65,6.02,0,0,2.35,0,0,0,26.25,0,0,0.91,0,2.7,0,0,0,4.79,0,0,3.27,0,0
 72-82,0,0,0,8.15,0,16.42,0,0,8.59,1.02,0,0,0,0,0,12.88,0,1.52,0.73,30.9,0,0,0.99,0,1.29,0,0,0,5.89,0,0,0.57,0.71,0
 84-94,0,0,0,2.9,0,18.99,0,0,11.12,0,0.78,4.01,0,1.52,0,16.87,0,1.48,0.63,25.27,1.11,2.27,5.57,0,4.78,0,0,0,0,0,0,1.93,0,0
 96-106,0,0,0,0.64,0,3.49,0,0,7.67,0,0.78,0.74,0,0.92,0,10.87,0,1.7,1.53,14.11,0,0.97,0,0,4.16,0,0,0,2.89,1.17,0.78,0.71,1.8,0
108-118,0,0,0,1.51,0,2.23,0,0.49,10.37,0,0,0,0,0,0,14.05,1.01,0,2.85,9.58,0.45,1.33,4.43,0,2.34,0,2.52,0,0.58,0,0,2.19,0,0
120,0,0,0,1.85,0,4.93,2.74,0,7.8,0,0,0,0,1.69,0,13.46,0,13.76,0,17.99,0,0,0,0,2.51,0,0,0,0,1.81,0,0,1.45,0
