stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,3.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.96,44.59,3.56,0,13.32,0,0,0,2.48,0,2.73,0,0,0.81,0,0,0,10.6,0,0,14.55,88.18,1.94,0,2.52,3.61,0,29.45,17.57,0.81,0,20.18,29.18,0,0,0,0,0
 24-34,0,0,0.7,24.17,0,0,35.95,0,0.85,0,2.57,1.67,2.17,0,0,0.9,0,1.55,1.34,37.87,0,0,10.27,192.27,3.7,4.46,4.71,0,0.99,9.22,0,0,0,9.32,43.8,0,0,0.64,0,0
 36-46,0,0,0,25.54,4.4,0,36.8,1.29,9.43,0.56,8.97,0.72,0,0,2.12,3.67,0,0.57,0.67,8.47,0,0,5.57,108.17,0,0,1.66,0,0,36.37,0,0.58,0,1.09,26.21,0,0,1.82,0,1.13
 48-58,0,0,0,10.42,0,0,36.43,1.67,7.43,0.82,34.85,0,0,1.27,5.83,0,0,0.69,3.77,18.58,0,0,6.92,156.01,0,0.97,6.82,0,0,2.91,0,0.61,2.64,0,21.31,0,0,4.33,0,0
 60-70,0,0,0,16.25,0,0,72.33,2.88,0.86,0.6,24.65,2.67,0,0,2.1,0,0,2.56,5.2,44.21,0,0,0,214.41,0,0.89,6.08,0,0,19.81,0,0,0,0,12.63,0,0,2.1,0,6.11
 72-82,0,1.88,0,10.55,0.8,0,80.46,3.92,9.69,2.64,46.11,8.08,0,0,5.55,0,0.53,0,0,32.48,6.76,0,6.07,161.91,0,0,3.05,0,0,15.69,0,2.57,0,0,11.82,0,0,10.75,1.24,2.58
 84-94,0,2.24,0,11.95,1.04,0,84,8.29,1.11,1.42,27.65,17.86,0,0,6.18,6.12,0.7,0.6,1.4,15.86,0,0,7.55,115.12,0,4.91,1.2,0,1.65,15.05,0,2.25,0,0,15.2,0.78,1.76,23.69,0,0
 96-106,0,0.95,0,11.06,0,0.75,93.16,1.79,1.07,0.84,38.39,8.85,0,0,2.59,0.68,0,7.26,9.89,29.35,0.68,0,2.54,132.63,0,1.45,3.11,0,4.28,75.67,0,0.6,0.57,0,2.15,2.47,0,0,0,2.56
108-118,0,0,0,16.96,1.51,2.39,47.08,2.68,4.5,5.16,55.32,4.26,0,0,2.87,1.65,0,3.38,5.96,11.84,8.56,1.08,4.67,152.41,0,2.62,10.67,0,2.7,24.84,0,0,0.43,0,0.42,0.58,0.82,3.17,0,1.25
120,0,0,0,42.63,0,0,61.89,0,5.64,0,52.35,8.78,0,0,12.41,2.42,2.22,0,4.92,29.5,3.3,0,4.61,147.39,1.18,0,1.51,0,0,43.55,0,2.43,0,0,0,0,0,8.16,0,0
