stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,844.04,14385.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7704.56,0,0,0,0,0,0,0,0
  5-6,2281.79,7653.14,0,0,0,0,0,0,0,0,0,0,1347.25,0,0,0,0,0,0,0,0,0,0,96.93,0,0,0,0,6653.71,0,0,0,0,0,0,0,0
  7-9,190.84,116.93,0,38.18,0,0,0,157.06,0,0,0,0,10698.89,0,0,0,0,0,0,0,0,0,0,6951.85,35.22,0,0,74.6,648.18,0,0,0,0,0,0,0,0
 10-12,0,33.43,0,453.17,0,6.22,0,118.35,0,0,0,0,4758.89,0,0,0,0,0,0,0,0,0,0,9305.66,34.77,0,0,296.9,122.17,4.19,709.25,0,0,0,0,0,0
 14-21,0.93,0,0,10.47,808.62,2535.68,0,4.4,3.57,0,2.79,1,570.69,0,0,6.17,0,11.31,0,0,5.31,0.86,1.04,52.13,0,7.35,8.61,0,83.19,11.83,4.91,2.49,5.03,34.72,0,2.5,0
 24-34,0,0,0,9.13,25.58,1169.46,0,2.65,2.31,0,0.8,0,85.41,0,0,5.85,0,94.31,0,2.18,2.08,7.24,0.77,86.1,3.42,3.51,14.42,0,11.32,0,0,0,0,12.45,0,4.07,0.77
 36-46,0,0,0,0.63,25.42,165.51,0,0,0,0,0,0,11.01,0,0,0,0,44.42,0,0,2.09,0,0.95,40.36,0,1.77,2.98,0,1.02,0,0,0,0,10.19,0,8.68,0
 48-58,0,0,0,0,38.05,72.38,0,5.87,2.05,0,1.24,0,16.73,6.9,0,0,0,49.35,0,0,2.79,1,0.91,48.76,0,3.79,6.55,0,5.03,0,0,0,0,11.61,0,22.81,0
 60-70,0,0,0,0,31.01,32.39,0,9.57,1.18,0,2.32,0,10.46,0,0,0,0,42.11,0,0,0,0,0,30.25,0,0,10.5,0,0.7,0,0,0,0,5.16,0,34.91,0
 72-82,0,0,0.53,0,33.35,58.18,0,17.84,0.68,0,3.43,0,11.05,0.92,0,2.79,0,55.97,0,0,1.58,0,0,24.76,0,0,6.86,0,3.5,0,0,0,0,3.64,6.18,120.09,0
 84-94,0,0,1.29,0,43.77,72.18,0,6.45,0,1.27,0,0,4.05,0,0,0,0,71.2,0,0,6.28,0,0,12.88,0,2.77,7.92,0,29.87,0,0,0,0,0,6.67,71.16,0
 96-106,0,0,0,0,53.17,136.71,0.97,17.49,0,0,2.05,1,0,0.68,1.28,0,0,110.72,0.63,0,9.09,3.16,1.18,17.81,0.57,0.69,1.83,0,6.58,0,0,0,0,1.12,5.27,168.67,0
108-118,0,0,0.41,0,56.09,165.2,0,3.31,1.03,0,3.28,4.36,0,1.76,5.89,0,2.5,66.92,0,0,8.48,1.46,0,34.84,0.86,0,6.13,0,12.5,0,0,0,0,0,6.76,186.49,0
120,0,0,0,0,62.34,107.91,0,2.82,0,0,0,0,0,9.97,0,2.78,0,55.01,5.51,0,15.31,3.54,0,17.64,0,0,1.12,0,17.16,0,0,0,0,0,14.45,80.03,0
