stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,0,181.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,278.26,0,0,0,0,0,0,0,0,0,0,14.89,0,0,0,0,0,0,0,0,13.57,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,8.43,5.29,20.67,0,0,0,6.78,0,0,0,0,0,18.23,0,0,0,0,0,0,0,0,112.37,0,0,163.27,0,0,0,0,0,0,0,0,0
 10-12,0,25.37,0,0,0,0,13.12,0,0,0,0,0,7.6,0,0,0,0,0,0,0,0,85.85,0,0,49.4,0,0,0,8.21,0,0,0,0,0
 14-21,0,0,0,1.83,0,0,1.42,0,0,0,0,0,0,0,6.38,0,0,0,1.62,0,0,5.78,0,0,0.85,0,0,1.73,0,0,0.85,1.81,0,0
 24-34,0,0,0,2.87,0,0,1.75,0,0,0,2.94,0,0,0,17.55,2.23,0,0,0.63,0,0,31.5,0,19.92,0,0,0,0,0,3.48,0,0,0,2.08
 36-46,0,0,0,1.24,0,0,0.94,0,0,0,0,0,0,0,3.65,1.39,0,0.91,0.67,0,0.92,20.45,0.91,14.25,0,0,0,0,0,0,0,2.22,0,1.52
 48-58,0,0,0,0,0,0,13.1,0,0,0,0,0,0,0,3.39,5.52,0,0,2.01,1.32,3.48,27.7,0.86,27.94,0,0,0,0,2.74,0,0,3.7,0.48,0
 60-70,0,0,0,7.35,4.71,0,6.75,1.17,0,0,4.83,0,0,0,35.79,19.11,0,11.2,3.59,0,0,28.61,0,55.53,0,0,3.6,0,0,0,0,2.53,0,0
 72-82,0,0,0,0,0.71,1.86,13.39,0,0.78,0,2.18,0,0,0,0,36.79,0,0,4.69,0,0,21.04,0,113.46,0,0,0,0,0,0,0,4.82,2.54,0.62
 84-94,0,0,0,0,4.34,0,22.23,1.31,0,2.73,1.31,0,0,0.99,2.75,35.66,0,0,1.75,1.05,0,30.26,0,155.51,0,0,0,0,0,0,0,2.7,7.57,0
 96-106,0,0,0,0,0,0.73,5.12,0,0,0,0,0.75,0,0.8,4.14,51.5,3.93,0,10.11,1.45,0,8.7,2.42,190.67,0,0,0,0,0,0.9,0,1.53,12.2,0
108-118,0,0,0,0,0,9.58,11.89,0,0,0.53,3.49,3.56,0,2.32,2.57,45.71,0,11.63,6.8,0,2.51,17.56,1.82,171.59,0,0.96,2.14,0,0,0,0,0,6.87,0
120,0,0,0,0,0,3.43,7.25,1.15,0,0,4.04,1.08,0,1.48,2.99,50.27,0,0,10.87,0,29.62,56.78,1.99,281.43,0,0,0,0,0,1.52,0,0,1.46,0
