stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,heart,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,53.87,796.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.78,0,0,0,0,0,0
  5-6,0,274.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.54,0,0,10.03,8.81,0,0,0,0,0,0
  7-9,0,8.55,0,0,0,0,6.96,0,0,0,0,0,0,0,0,0,7.04,3.56,0,7.72,0,4.58,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,11.45,0,2.09,0,0.86,0,0,0,0,0,0,0,0,0,12.34,0,0,0,0,0,0.82,2.74,0,1.16,0
 24-34,0,0,19.26,0,0,0,1.39,0,0,0,0,0,0,0.91,0,0,182.75,0,0,0,0,0,0,1.98,0.62,34.58,1.58
 36-46,0,0,6.78,0,0,0,3.72,0,0,0,0,0,0,1.4,0,0,388.26,0,0,0,0,0,0,1.03,0,80.24,0
 48-58,0,0,5.19,0,0.41,0,20.25,0.51,3.47,0,0,0,0,1.7,0,0,426.01,0,0,0,0,0,0,0,0,37.78,0
 60-70,0,0,3.66,0,5.42,0,56.68,0,0,0.63,1.29,0,0,2.73,0,0,758.68,0,0,0,0,0,0,0,0,26.18,0
 72-82,0,0,17.64,0.56,1.12,0,72.33,0,9.12,0.86,1.16,0,0,11.55,0,0,792.78,0,0,0,0,0,0,1.29,0,34.37,0
 84-94,0,0,18.13,0,1.83,0,90.56,0,1.61,0,0,0.65,2.11,7.04,2.23,0.58,614.61,0,0,0,0.7,0,0,0,0,14.12,0
 96-106,0,0,6.02,0,2.87,1.51,76.34,1.62,6.05,0,0,0,0,5.05,0,0,598.27,0,0,0,2.78,0,0,0.87,0,3.13,0
108-118,0,0,14.81,0,4.38,0,89.46,0,16.88,0.75,0,0,2.24,6.8,0,0,579.44,0,1.07,0,0,0,0,0,0,7.23,0
120,0,0,8.69,0,0,0,167.69,0,5.41,0,0,0,0,17.72,0,0,651.22,0,0,0,0,0,0,0,0,1.64,1.1
