stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,35.65,759.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.59,0,0,0,0,0,0,0,0,0,0,0
  5-6,57.79,786.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.48,0,0,0,8.94,0,17.62,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.79,9.68,9.76,0,0,0,30.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325.58,0,0,0,64.67,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,36.37,0,5.14,0,52.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368.32,3.95,0,0,47.18,0,0,3.03,0,5.18,0,5.3,0,0,0,0,0,0
 14-21,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,1.02,12.78,0,0,0,0.88,0,0,0,0.81,0,0,0.8,7.2,0,0,0,0,0
 24-34,0,0,0,4.87,0,0,0.66,0,0,0,0,0,0,0,0,0,0,0,0,3.93,0,0,1.31,55.8,0,2.26,7.91,0,0,1.62,0,0,0,0,0.69,6.75,0,0,0,0,0
 36-46,0,0,0,3.55,0,0,20.34,23.12,1.76,0,2.65,0,0,0.98,0,0,0,0,0,4.31,0,0,57.68,88.81,0,0,21.65,0,0,5.21,0,0,0,0,0,12.31,0,0,0,0,0
 48-58,0,0,0,0.6,0,0,12.36,31.94,0,0,2.34,0,0,0,0,0,0,0.37,0,5.59,0,0,101.77,77.63,0,0,4.64,0,0,0,0,0,0,0,0,18.89,0,0,0,0,6.46
 60-70,0,0,0,6.49,0,0,57.67,1958.98,6.32,0.83,11.78,0,0,1.14,0,0,0,0,19.89,32.23,0,0,88.2,165.82,0,0,3.75,0,0,3.1,0,0,3.39,0,0,14.35,0.77,0,2.88,0,3.77
 72-82,0,0,0,6.85,12.92,0,208.25,3038.11,0.78,6.24,29.55,3.21,0.7,7.52,0,0,2.75,5.38,11.48,79.51,0.83,1.91,423.07,298.67,0,0.55,4.4,0,2.94,12.48,0,0,2.8,2.99,0,17.77,2.88,2.2,5.84,0.71,19.07
 84-94,0,0,0,8.79,36.51,0,243.6,5342.52,11.12,0,24.77,2.32,0.7,5.11,1.15,0,0,0,0.95,57.04,7.27,4.49,930.95,221.43,0.76,1.13,31.37,0,5.53,12.01,0,0,0,0,0,32.99,1.76,0,15.53,4.64,10.27
 96-106,0,0,0,25.9,32.39,3.86,111.41,6331.16,47.88,4.25,40.16,0.77,1.6,3.99,0,0,0,33.82,15.26,94.81,5.26,0.63,823.87,264.21,0,4.48,3.31,0,0,12.99,0,0,0,0.7,0,3.24,0,0,5.46,4.31,6.25
108-118,0,0,0.74,6.12,5.65,2.8,92.21,4748.47,0.71,4.93,18.11,0,0.8,5.9,0.95,2.92,1.26,17.8,0,58.06,2.55,8.23,537.84,111.04,0.67,0.45,2.62,0,0,12.2,0,0,0,0,0,4.84,0.83,0,6.4,4.17,1.35
120,0,0,0,1.57,16.96,0,60.34,3286.4,0,8.58,19.74,0,0,1.14,0,0,1.77,5.02,0,17.4,0,0,234.89,346.89,0,0,4.6,0,0,86.19,0,0,0,0,0,0,0,0,4.4,2.27,0
