stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,heart,iridophores,lateral.line,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,slow.muscle,somites,spinal.cord,vasculature
  3-4,23.33,411.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.84,82.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.71,7.75,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.48,0,0,0,0,0,0,0,0
 10-12,0,0,9.29,0,5.46,0,0,0,0,0,0,0,0,0,19.08,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.66,0,6.04,0,0,0,0,0,0,1.26,0.88,14.85,2.45,0,0,0,0,1.89,4.08,0
 24-34,0,0,0,0.63,0,1.4,0,0,0.86,0,0,0,6.45,3.32,62.4,0,0,0,0,0,1.35,0.67,0
 36-46,0,0,0,0,0,1.12,0,0,0,0,0,0,15.59,1.9,43.7,0,0.75,0,0,0,0,1.79,0.75
 48-58,0,0,0,0,0,0.97,0.75,1.6,1.13,0.87,0,0,14.02,0.46,34.43,0.5,0.43,0,0,0,0,2.92,0
 60-70,0,0,0,0,0,3.27,0,0,1.63,0.93,0,0,5.22,0,80.98,0,0,0,0,3.27,0,3.35,0
 72-82,0,0,0,0,0,13.77,0,0,44,0,0,1.43,7.87,0.85,36.21,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,16.92,0,0,29.32,0,3.44,0,1.57,0,59.44,0,0,0,0.81,0,0,0,0
 96-106,0,0,0,0,0,41.78,0,1.24,42.16,0,1.09,0,4.8,0,90.02,0,0,0,2.06,0,0,3.2,0
108-118,0,0,0,0.45,4.29,114.66,0,0,31.18,0,9.44,0,15.88,0,127.09,0.54,0,0,0,0,0,0,0
120,0,0,3.17,6.67,0,55.31,10.7,0,58.1,0,0,0,11.95,2.81,122.93,0,0,0,2.32,0,0,9.04,0
