stage,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,heart,immune,ionocyte,liver,melanocytes,mesenchyme,mucous,muscle,neural,otic,periderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle
 24-34,0,0,0,0,0,0.93,0,0,0,0,0,0,0,0,0,3.17,0,0,0,0,0,0
 36-46,0,0,1.1,11.81,0,0,0,0,0,4.16,0,0,0,0,0,11.85,0,0,1.69,2.35,0,0
 48-58,0,0,1.32,5.93,0,1.08,0,0,0,0,0,0,1.62,0,0,8.45,0,0,0.46,0,0,0
 60-70,0,0,3.97,7.88,0,0.94,0,0,0,0,0,6.25,1.39,0,0,16.58,0,3.63,0,0,1.85,0
 72-82,0.73,0,3.01,19.38,0,0,0,0,0,0,0,0.64,1.71,0,1.77,2.39,0.82,0,0,0,0,1.84
 84-94,0.8,0,24.88,7.19,0,9.03,0,0,0.72,0,0,10.75,1.24,0,2.85,14.76,0,5.34,4.17,0,0,0
 96-106,1.42,1.53,27.11,16.22,3.51,0,2.87,0.72,0,0,0.6,0.57,2.74,7.39,1.99,17.09,1.13,1.09,9.56,0,0,0
108-118,3.6,0,29.49,12.93,2.59,0,0,0,0,0,0,11.15,4.87,0,1.75,17.34,1.34,0,8.76,0,0,0
120,4.4,0,17.51,15.45,0,0,2.51,0,0,0,0,1.79,1.78,0,0,18.59,0,0,0,0,0,0
