stage,blastomeres,endoderm,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,41.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.86,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.03,0,0,0,5.85,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.7,2.58,0,0,0,3.26,0,0,0,0,0,0,2.27,0,0.9,5.76,0,0,0,0,0,0,13.6,45.71,0,0,0,0,0
 24-34,0,0,0.71,3.5,0,0,0.61,26.7,0,0,0,0,0,0,4.91,0,1.57,12.21,0.73,0,0,0,0,0,0,101.27,0,0,0,0,0
 36-46,0,0,0.73,0.63,13.91,0,2.6,64.69,0,0,0,0,2.1,0,0.66,0,3.86,68.98,0,0,0,0,0,0,0,176.79,0,0,4.23,0,0
 48-58,0,0,0.38,3.76,12.01,0,7.5,150.28,0,0.51,0,0,2.66,0,7.32,0,8.61,54.22,5.27,0,0,0,0,0,0,425.69,0,0,1.72,0,3.29
 60-70,0,0,0,27.55,2.46,0,1.75,364.45,0,0,0,0,7.77,0,11.6,0,3.82,24.77,0,0,0,0,0,0,0,301.45,0,0,8.19,0,0
 72-82,0,0,0,24.05,11.57,0,3.99,573.9,0.73,0,0,0,11.73,0,24.11,0,0,18.24,0,0,0,0,0.59,0,0,434.88,0,0.52,2.09,0,0
 84-94,0,1.01,2.47,28.52,1.21,0,4.71,393.85,0.87,0,0,0,21.51,1.07,2.59,1.08,3.58,26.07,0.98,0,0.83,0,0.73,0.72,0,362.54,0.85,0,4.14,0.75,0
 96-106,0,0,3.97,23.96,6.69,0.67,0,505.75,0,0,0,3.17,20.62,0,8.87,0,3.87,17.68,0,4.1,0.87,0,0,0,0,695.26,0,0,1.37,0,1.22
108-118,0,0,10.89,19,1.95,0,0.57,471.2,0,0,0,0,29.32,0,16.17,0,2.73,35.23,1.17,0,0.92,0,4.15,0,0,375.68,0,0,7.47,7.3,0
120,0,0,20.35,32.87,5.77,1.51,0,824.44,0,0,1.18,0,27.88,0,54.85,0,0,32.88,0,0,1.51,0,0,0,0,345.53,0,0,0,0,0
