stage,eye,glial,immune,mesenchyme
 48-58,0,3.17,0,0
 72-82,0,0,0.65,0
 84-94,1.5,0,0.97,0
 96-106,0,0,1.11,0
108-118,0,0,2.53,2.03
120,0,0,4.72,10.5
