stage,blastomeres,erythrocytes,eye,glial,hatching.gland,iridophores,mesenchyme,neural,olfactory,paraxial.mesoderm,periderm,spinal.cord,vasculature,xanthophores
  5-6,89.65,0,0,0,0,0,0,0,0,12.44,0,0,0,0
 10-12,0,0,0,0,7.06,0,0,33.52,0,8.44,0,0,0,0
 14-21,0,0,0,0,0,0,0,2.04,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0.91,0,0,1.03,0.92,0,0
 36-46,0,0,0,0,0,0,0,15.66,0,0,0,8.46,2.22,10.3
 48-58,0,0,2.86,1.2,0,0,1.05,6.35,0.88,0,0,2.96,0,0
 60-70,0,0,0,0,0,0,5.44,11.68,0,0,0,5.39,0,0
 72-82,0,0,10.51,0,0,0,0,6.68,0,0,0,0,0,0
 84-94,0,0,2.29,3.19,0,0.75,0,5.16,0,0,0,2.55,0,0
 96-106,0,0,0,7.6,0,0,0,1.81,0,0,0.56,0,0,0
108-118,0,0.76,4.27,0,0,0,0,6.02,0,0,0,0,0,0
120,0,0,0,0,0,0,0,6.09,0,0,0,0,0,0
