stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,121.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.25,0,0,0,0,0,0,0,0,0,0
  5-6,51.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.16,0,0,0,0,0,286.42,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,13.41,0,0,0,0,0,25.42,0,0,0,0,0,0,0,0,0,0,0,153.8,0,0,0,82.51,0,23.18,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,30.83,0,4.44,0,9.88,0,0,0,0,0,291.5,0,0,0,0,0,0,0,0,0,0,0,585.04,13.1,0,0,153.66,0,12.24,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.56,13.08,3.98,0,7.89,0,0,0,16.24,1.54,35.63,0,0,3.42,0,0,0,0,6.02,0,0,3.96,283.13,31.01,1.1,2.93,8.41,0,27.9,2.9,1.05,1.17,3.91,161.89,0,0,5.06,0,2.66
 24-34,0,0,0,6.46,0,0,40.3,0,0,0,18.78,0.67,5.63,0.8,0,1.45,0,5.17,0,1.41,34.79,2.26,1.52,9.56,527.87,7.05,2.57,3.62,0,0,36.82,1.03,1.08,0,1.54,160.8,0,0,14.8,0,15.42
 36-46,0,0,0,1.97,0,0,58.72,0,2.52,0.87,26.05,0,0,2.37,0,8.2,7.74,0,0,0,37.29,0.56,0,6.65,609.09,5.43,1.87,5.13,0,0,48.45,0,0,0,0,135.44,0,1.47,2.89,0,16.21
 48-58,0,0.44,0,7.61,0,0,68.19,0,0,0.55,55.82,0,2.89,0.6,3.71,0,0,2.23,0,0,58.92,0,2.57,10.43,423.93,0.6,1.78,0.84,0,0.53,34.85,0,0,0,0,98.1,0,0.51,9.11,0,16.44
 60-70,0,0,0,6.03,0,0,127.07,0,1.57,5.57,83.11,6.91,5.59,0,0,1.98,0,2.87,0,0,82.68,2.04,7.91,10.18,392.98,1.15,7.07,0.89,0,0.94,33.67,0,0,0,0,76.22,0.77,0.67,19.02,1.42,4.72
 72-82,0,3.01,0,9.91,5.75,0,142.77,0,0,1.59,103.95,3.46,1.14,0.58,0,0.66,0,3.75,0,0,141.6,1.93,0,16.32,405.15,0,5.35,1.07,0,1.67,52.78,0,0,0,0,60.82,0,5.5,19.2,12.27,18.68
 84-94,0,1.33,0,8.43,0,1.86,162.19,0.81,9.65,0.59,63.71,6.81,1.57,0.8,0,7.43,0,4.43,7.09,0,127.72,3.06,17.92,5.44,351.61,0.7,3.4,5.22,0,1.16,142.75,0,0,1.21,0,32.43,1.73,2.12,17.6,6.16,27.05
 96-106,0,2.05,0,23.21,8.16,0.6,121.54,0,2.78,1.91,120.3,6.45,0,10.34,0,2.77,1.53,3.12,0.72,0,110.6,11.17,5.97,5.66,374.26,1.41,6.47,4.41,0,1.33,88.45,0,0.73,0,0,19.66,0,4.28,26.2,8.79,18.32
108-118,0,0,0,19.01,0.52,3.55,123.02,0.42,5.76,3.47,133.17,5.77,0,2.28,0,6.64,0.59,2.11,13.81,3.34,193.6,3.85,7.49,15.09,384.83,0,1.24,1.75,0,12.78,103.49,0,0.83,0,0,16.55,1.58,8.71,30.33,11.59,20.28
120,0,0,0,30.72,0,0,116.27,0,3.64,3.1,145.54,23.73,0,0,1.18,5.43,3.83,2.39,9.49,0,103.07,0,18.15,10.79,428.9,0,1.62,3.97,0,18.25,96.18,0,0,1.32,0,0,1.94,12.06,100.96,0,2.33
