stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,immune,liver,mesenchyme,mural_cell,neural,olfactory,otic,periderm,spinal_cord,taste,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0.92,0,5.88,0,0,0,1.93,0,0,0
 24-34,0,0,0,3.72,0,0,0,0,0,0,0,30.16,0,0,0,13.69,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.56,0,60.19,1.42,0,0,29.01,0,0,0
 48-58,0,0,0,9.16,0,2.11,0,0,0,0,0,215.38,0,0,0,40.44,0,0,0
 60-70,0,0.79,0,15.9,0,0,0,0,0,0,0,346.26,0,0,4.31,49.82,0,0,0
 72-82,0.64,1.73,0,39.15,0,1.54,0,0,0,8.21,0.75,344.86,1.21,0,3.64,37.93,0,0,0
 84-94,0,2.78,0,22.02,1.18,1.26,0,0,0,0.56,0,162.93,0,0.6,0,32.07,0,1.16,0
 96-106,0,1.89,0,24.13,0,4.11,0,0,1.69,0,0,148.4,0.92,0,0.71,8.76,0,0,2.56
108-118,0,2.09,0.66,26.17,0,10.14,0,0,0,0,0,136.93,0,0.43,0,6.04,0.68,0,0
120,0,0,6.33,23.12,0,36.81,2.8,4.03,0,5.8,0,405.47,0,0,0,32.14,0,0,0
