stage,eye,iridophores,neural,pericytes,spinal_cord,vasculature
 24-34,0,0,6.59,0,2.3,0
 36-46,0,0,5.83,0,1.64,0
 48-58,0,0,2.15,0,0,0
 60-70,0,0,8.18,0,0,0
 72-82,0,2.34,14.83,0,0,0
 84-94,2.02,0,28.76,0,1.98,5.91
 96-106,0,0,5.77,1.17,0,0
108-118,0,0,18.98,0,0,0
120,0,0,6.1,0,0,0
