stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1.41,11.89,90.96,14.67,0,33.53,0,0,0,13,8.05,0,5.43,0,0.86,0,0,0,1.13,73.41,0,0,52.82,897.28,34.74,0,2.76,7.53,0,14.56,0,67.33,11.2,4.57,114.32,210.81,0,0,10.2,0,0.84
 24-34,0.84,8.07,69.56,2.05,0,104.12,0.93,2.87,3.58,28.54,2.78,0,11.36,0,0,0,4.81,11,2.76,250.19,0.63,0,118.08,2203.14,12.79,1.39,13.51,0,0,41.64,0,0,25.98,3.59,21.43,533.78,0,0,43.22,0,3.44
 36-46,0,0,40.88,2.16,0,160.97,4.72,7.75,13.48,161.77,2.81,0,3.85,0,1.81,0,2.98,0,0.86,372.07,0.56,3.24,90.69,1423.58,22.62,4.5,10.88,0,0.97,47.6,1.61,0,2.26,8.66,0.75,423.18,0,0,51.42,0,0
 48-58,0,0,37.8,0,0,192.67,5.81,8.71,10.23,314.04,4.31,0.57,3.03,14.95,0,5.31,4.52,3.68,1.68,490.38,0,15.69,83.32,721.42,12.58,2.7,13.51,0,2.96,27.36,0,0,0,3.61,0,392.94,0,1.43,24.92,0,9.32
 60-70,0,0,51.21,0,0,127.13,7.67,4.88,22.46,324.51,4.65,0,22.15,1.81,0.92,3.44,0.73,8.35,2.33,628.36,0,32.04,42.94,242.86,21.7,0,28.45,0,0,23.15,0,0,1.3,5.82,0,122.89,0,11.55,30.58,1.69,9.72
 72-82,0,0,42.6,13.07,0,60.93,1.21,14.44,19,260.55,4.5,0,11.27,1.86,0.58,9.03,2.18,1.36,1.81,836.38,2.08,14.74,46.16,221.87,1.31,0.51,10.65,0,4.97,21.63,0,0,0.63,1.07,0,58.85,4.24,15.44,61.19,17.03,12.76
 84-94,1.44,1,52.41,16.85,0,83.16,3,13.24,19.77,177.61,13.44,0,4.02,5.66,4.14,1.33,3.07,3.37,4.51,602.03,0,18.47,31.74,166.27,3.33,3.05,24.84,0,17.24,37.27,0,0,2.68,0,0,39.77,2.24,7.15,65.45,16.22,14.6
 96-106,6.67,0,61.37,17.09,0,79.71,2.63,19.58,10.7,174.88,10.15,0,12.51,3.22,2.12,5.87,7.55,6.78,0,723.63,10.11,22.94,29.54,157.03,2.43,7.4,17.93,0,5.17,36.8,0,0,2.39,1.22,0,22.52,1.26,25.9,49.44,33.39,1.84
108-118,0.94,0.49,110.18,4.91,1.36,112.39,5.11,27.49,15.14,178.16,18.32,0,3.98,4.64,11.31,7.44,3.86,16.28,5.23,731.04,3.34,28.93,39.09,181.07,5.96,6.21,23.04,0,8.19,39.98,0,0,4.39,4.14,0,9.82,3.26,19.44,72.93,14.08,6.13
120,0,0,129.72,14.24,7.19,63.29,5.1,32.35,22.32,384.03,21.31,0,4.89,6.95,7.1,2.62,2.07,20.1,11.42,920.12,1.13,42.8,72.1,221.44,1.33,1.61,52.35,0,52.2,46.5,0,0,10.38,2.42,0,24.11,8.38,14.57,63.32,55.53,0
