stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,32.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,72.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.39,0,0,3.72,0,0,0,12.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.65,0,0,0,4.17,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,11.08,0,0,0,7.91,0,0,0,0,0,5.28,0,0,0,0,0,0,0,0,0,0,0,59.07,5.33,0,0,6.98,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.08,54.96,2.26,0,5.06,0,0,0,0,0,0,1.13,0,2.22,0,0,0,0,28.01,0,0,3.97,59.86,0.97,0,4.74,1.98,0,2.92,2.24,9.29,0,1.62,4.3,16.62,0,0,0,0
 24-34,0,0,0,0.76,6.5,0.61,0,4.02,0,0,0,0,0.78,0,0,0,0,0,0,0,0,3.11,0,0,1.69,40.62,0,0.79,2.51,0,0,4.73,0,0,1.79,0,0,7.78,0,0,3.98,0
 36-46,0,0,0,0,5.64,0,0,4.52,1.84,0,0,1.84,0,0,0.65,0,4.54,0,0,0,0,5.73,0,0,1.96,47.08,1,3.23,1.96,0,0,7.95,0,0,1.9,0,0,19.32,0,0,0,0
 48-58,0,0,0,0,8.05,0,0,6.11,0,6.33,0,2.41,0,0,0,0,0,0,0.79,0,0,3.71,0.59,0,10.55,24.43,0,2.05,1.8,0,0,17.69,0,0,0.37,0,0,1.18,0,0,1.99,0
 60-70,0,0,0,0,12.65,0.6,0,11.1,0,1.46,0,5.38,3.09,0,0,0,8.53,0,1.52,0,0,0.76,0,0,0,33.9,0,1.19,3.31,0,0,0,0,0,1.12,0,0,3.32,0,0,3.47,0
 72-82,0,0,0.62,0,13.43,0.57,0,8.69,0,0,0,5.51,1.27,0,0,0,0,0.64,1.77,0,0,9.69,0,5.33,0.68,44.89,0,12.07,0,0,0.71,2.5,0,0,0,0,0,5.28,0,0,1.26,4.05
 84-94,0,0,1.23,0,14.29,15.65,0,25.33,0,5.25,0,24.14,1.31,3.67,0,0,1.66,0,2.89,1.41,0,14.95,1.21,0.56,0,35.15,0,11.46,2.87,0,0,32.77,0,0,2.26,0,0,3.17,2.31,0.63,0.86,3.76
 96-106,0,0,4.03,0,12.37,19.89,0,43.87,0.64,0.98,1.06,33.9,2.09,0,0.96,0.95,1.44,0,3.29,0,0,39.16,4.2,0.62,0.72,64.13,0,12.73,11.88,0,1.54,41.23,0,0,0,0,0,5.61,1.4,0,6.7,3.61
108-118,0,0,1.22,0,35.93,15.84,2.88,13.38,2.21,5.82,0,37.78,3.05,0,0,0,0.75,1.21,4.3,0,0.61,38.76,10.09,4.11,0.98,45.37,1.53,2.67,9.3,0,0,32.81,0,0,0,0,0,7.27,1.71,0,3,3.24
120,0,0,0,0,37.39,12.69,0,3.5,0,19.62,4.49,35.46,3.6,0,0,0,2.06,11.74,0,0,0,18.19,0,0,5.47,112.91,0,2.57,11.38,0,0,35.13,0,0,0,0,0,0,0,0,0,0
