stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,87.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.12,0,0,0,0,0,0,0
  5-6,0,187.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.77,0,0,0,0,0,0,0
  7-9,3.48,0,0,0,0,0,0,0,0,4.45,0,0,0,0,0,0,0,0,121.65,3.96,0,29.34,0,105.07,0,0,0,0,0,0,0
 10-12,0,12.22,0,0,7.51,0,0,0,0,0,0,0,0,0,0,0,0,0,114.6,7.04,0,33.65,0,62.56,0,0,0,0,0,0,0
 14-21,0,0,4.46,3.52,0.93,0,0,0,0,0,0.81,0,0,0,0,0,0,0,8.19,1.4,0,0,0,38.87,0.81,1.36,2.89,6.66,0,0,0
 24-34,0,0,31.3,0,1.79,3.49,0,0,0,0,2.5,0,0,0,0,0,0,0,16.23,0,0,0,0,14.32,0,0,0.73,15.12,0,0,0
 36-46,0,0,34.27,0,3.79,13.35,0,0.87,0,0,0,0,0,0,2.45,0,0,0,27.75,0,0,0,0,5.17,0,0,0,1.83,0,0,0
 48-58,0,0,76.55,0,16.5,20.57,0.56,0.97,0,0,0,0,0,0,0,2.05,0,0,39.42,0.51,0,0,0,0.97,0,0,0,6.75,0.4,0,0
 60-70,0,0,102.53,0,6.41,11.44,0.81,3.26,0,0,0,0,0,0,0,4.26,1.91,0.75,23.59,0,0,0,0,2.37,0,0,0,9.34,0.63,0,0
 72-82,0,0,51.29,0,29.83,18.54,0,0,0,0,1,0,0,0,0,6.29,0.56,0,51.71,0,0,0,1.79,22.32,0,0,0,1.78,0,0,0.67
 84-94,0,0,85.65,0,1.95,8.38,0,0.67,0,0,1.16,0,0,0,0,2.12,0.71,1,8.65,0.6,0.92,0,0,53.61,0,0,0,0,0,0,0
 96-106,0,0,54.79,6.89,5.71,6.27,0,3.57,1.32,0,0.66,0,0,0,0,6.13,0.81,0,14.24,1.43,0,0,0,129.4,0,0,0,0,0,0,0
108-118,0,0,113.54,0.7,20.99,19.44,0,6.13,0,0,1.05,0.49,0,1.5,0,0,2.02,0.79,24.7,0,0,0,0,116.15,0,0,0,0.47,0,0.78,0
120,0,0,147.95,0,7.39,15.48,0,0,1.24,0,2.26,0,1.84,0,0,0,7.64,0,48.61,0,0,0,0,144.64,0,0,0,0,0,0,0
