stage,eye,gut,mesenchyme,neural,olfactory,spinal_cord,taste
 36-46,0,0,0,1.39,0,8.12,0
 48-58,0,0,0.53,2.64,0,0,0
 60-70,0,0,0,0,0.72,0,0
 72-82,1.95,0,0,0,0,0,0
 84-94,0,0,0,0.64,0,0,0.97
 96-106,0,1.19,0,0,0,0,0.82
