stage,epidermis,eye,glial,gut,ionocyte,mesenchyme,neural,notochord,periderm,spinal.cord,vasculature
 14-21,0,0,0,0,0,0,1.28,0,0,1.05,0
 24-34,0.62,0.78,0,0,0,0.63,14.73,0,5.33,1.91,0
 36-46,0,5.19,0,0,0.83,0,13.58,0,11.35,0,1.49
 48-58,3.59,0,0.38,3.21,0,0,3.64,6.51,4.32,0,0
 60-70,1.17,0,0,0,0,7.35,0,0,4.93,0,0
 84-94,0,0,0,0.99,0,0.97,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0.51,0,0
120,1.74,0,0,0,0,3.44,0,0,2.17,0,0
