stage,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,iridophores,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,periderm,slow.muscle,spinal.cord,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
 14-21,0.81,0,0,0,0,0,0,0,0,1.26,0,0,0,1.01,0,0,0,0,0.85,0
 24-34,6.54,0,0,1.63,0,0,1.35,0,0,0.62,0,0,0,2.46,0,0.69,10,0.62,0,2.9
 36-46,0.89,0,0,0,0,0,0,0,6.61,5.74,0,0,0.56,0,0.65,0,7.38,0,0,2.38
 48-58,0.73,0,4.93,0,0,0,0,0,0,6.08,0,0,0,5.04,0,0,9.56,0,0,4.02
 60-70,3.51,0,0,0,0,0,0,0,0,0,0,1.27,0,1.32,0,0,7.22,0,0,6.64
 72-82,1.32,1.48,0.7,0,0,0,0,0.5,0,0,0,1.8,0,0,0,0,0.96,0,0,11.43
 84-94,5.36,1.26,1.79,1.69,0,1.5,0.91,0,0,0,0,18.6,0,0,0.58,0,8.14,0,0,0.7
 96-106,2.69,10.11,0,0.61,0.64,0,1,0,0.99,0,3.63,2.21,0,7.6,0,0,4.14,0,0,0
108-118,7.91,3.15,0,1.69,0,0,0,0,1.49,0,0,0.57,0,0,0,1.7,5.08,0,0,0
120,6.86,0,0,0,0,16.1,5.59,0,1.05,0,18.12,1.47,0,0,0,0,3.02,0,0,0
