stage,epidermis,erythrocytes,eye,fast_muscle,glial,heart,immune,mesenchyme,muscle,neural,periderm,presomitic_mesoderm,spinal_cord,vasculature,xanthophores
 14-21,0,0,0,0,0,0,0,0,1.18,1.91,0,0.83,1.15,0,0
 24-34,0,0,2.51,0,0,1.92,0,0.68,0,3.84,0,0,0.82,0,0.86
 36-46,0,0,7.87,0,0,0,0,0.89,0,6.39,0,0,1.63,0,0
 48-58,2.28,0,0.9,0,0.81,0,0.56,0.88,0,7.79,0,0,1.39,0,0
 60-70,1.5,0,2.14,0,0,0,0,4.15,0,9.55,0,0,0,0,0
 72-82,0,2.03,0,0,0,0,0,3.18,2.3,4.1,0.96,0,0,0,0
 84-94,0,0,0,0.69,0,0,0,0,0,3.86,4.03,0,0.99,0,0
 96-106,0,0,3.51,0,0,0,0,0,0,3.53,5.07,0,0,0,0
108-118,0.7,0,1.6,0,0,0,0,1.54,0,2.01,0,0,0,1.99,0
120,0,0,1.35,0,0,0,1.34,0,0,32.02,5.51,0,0,0,0
