stage,axial,blastomeres,endoderm,epidermis,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,11.32,18.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,32.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.83,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.29,9.32,0,0,0,0,0,0,0
 14-21,0,0,0.85,10.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,1.1,123,0,0,113.05,1.33,0,0,0
 24-34,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0.7,0,6.62,0,0,12.02,5.09,0,0,309.3,0,0,0,0
 36-46,0,0,0,1.12,0,0,0,0,0,1.2,0,0,0,2.84,0,10.22,0,0,22.23,3.3,0,0,181.23,3.7,0,0,0
 48-58,0,0,0,4.7,0,7.43,1.17,0,0,0,0,0,0,0,5.79,35.05,0,0,26.07,0,0,0,128.52,2.86,0,0,0
 60-70,0,0,0,8.37,0,9.89,7.04,0,0,0,1.12,0,0,0,0,151.14,0,0,6.56,5.17,0,0,45.43,1.17,0,0,0
 72-82,0,0,0,6.49,0,12.08,1.64,0,12.69,0,0,0.63,0,0,0,346.02,0,0.63,13.35,0,2.37,2.1,57.47,2.74,0,0,0.64
 84-94,0,0,0,22.96,0,14.79,0,0,0,0.6,0,0,0,0,3.72,300.84,0,0,17.61,0,0,0.62,78.76,4.11,0,0,0
 96-106,0,0,0,6.95,0,17.53,0.67,5.29,0.72,0.77,0,0,0,0,0,284.49,0,1.31,42.48,0,0,0,50.55,0,0,6.17,3.71
108-118,0,0,0,9.68,0.64,17.19,0.85,0,0,0,0,0,0.73,0,0,339.01,0.74,0,8.06,0,0,0,47.95,0,2.37,0,6.35
120,0,0,0,13.23,0,25.79,0,0,0,0,3.52,0,0,0,0,371.71,0,0,14.71,0,0,0,29.64,3.65,0,0,0
