stage,blastomeres,endoderm,hatching.gland,neural,paraxial.mesoderm,pronephros
  3-4,13.55,0,0,0,0,0
  5-6,45.08,0,0,0,0,0
  7-9,0,0,7.53,6.63,0,0
 10-12,0,5.76,0,37.66,4.9,3.78
