stage,axial,epidermis,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,mesenchyme,muscle,neural,periderm,slow_muscle,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,10.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,4.28,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,2.26,0,0,0,0,0
 24-34,0,0,0,3.01,0,0,0,0,1.8,0,0,0,0,0.93,0,0
 36-46,0,2.4,0,0,0,0,0,0,0,0,0.73,9.05,0,0,0,0
 48-58,0,0,0,2.3,0,0,0,1.32,0.6,0,0,0,0,0,0.45,0
 60-70,0,0,0,1.85,0,0.82,0,0,0,0,0.67,0,0,3.78,0,0
 72-82,0,0,0,0,0,0,1.51,0,0,0,0,5.59,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,3.29,0,0.57,0,0,0
 96-106,0,0,0,1.36,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,1.65,0,0,0,0,0,0,1.77,8.11,0,0,0,0,0
120,0,0,0,0,2.98,0,0,0,0,0,6.82,19.29,0,0,0,3.21
