stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,572.81,13614.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,516.01,0,0,0,0,0,0,0,0
  5-6,904.23,8672.45,0,0,0,0,0,0,0,0,0,41.96,0,0,0,0,0,0,0,0,0,207.43,32.38,0,0,67.36,0,54.81,0,0,0,0,0,0,0,0
  7-9,32.61,13.55,0,17.03,0,0,28.28,0,0,0,0,19.88,0,0,0,0,0,0,0,0,0,660.55,11.39,0,0,211.47,0,0,79.57,0,0,0,0,0,0,0
 10-12,0,0,0,3.2,0,0,25.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.31,3.62,0,0,25.4,0,0,11.92,0,0,0,0,0,0,0
 14-21,0,0,0,0,7.93,0,6.39,0.87,0,0,1.2,0,0,0,0,0,0.86,18.37,0,0,0.81,20.5,0,0,1.61,0,0,2.33,0,0.81,1.65,11.89,0,0,0,4.62
 24-34,0,0,0.67,0,0,0,9.23,0,0.88,0,0,0,0,0,1.02,0.64,0,49.2,6.24,0,0.62,226.04,0,3.13,0,0,0,4.13,0,0,0,66.96,0,4.18,0,14.39
 36-46,0,0,0.98,0,0,0,16.92,0,1.09,0,0,0,0,2.84,0,1.36,0,67.4,0.76,8.23,0.62,438.46,0,6.46,0,0,0,4.07,0.81,0,0,108.6,0,18.14,0,0.65
 48-58,0,0,0.54,0,0,0,44.79,0,1.48,16.45,0,0,0.39,0,0,1.15,0,29.21,10.51,0,2.88,422.14,1.33,0,1.22,0,0,3.59,0,0,0,83.45,0,14.88,0,14.68
 60-70,0,0,0,0,6.07,0,73.32,0,0,20.45,0,0,0,11.52,0.86,7.32,0,6.68,15.25,0.63,0.68,506.88,0,2.53,0,0,0,3.93,0,0,0,49.58,0,10.65,0,4.15
 72-82,0,0,3.13,0,0.9,0,158.19,0,0,20.25,3.29,0,0,8.76,0,12.65,0,2.71,32.06,3.75,0.92,498.14,0,0,0.56,0,0,0,0,0,0,46.6,0,8.58,0,8
 84-94,0,0,4.24,0,3.07,0,108.82,0,0,20.9,0.73,0,0,10.08,0,16.94,0,45.04,17.3,2.35,2.86,315.5,0,0,0,0,2.13,10.19,0,0,0,16.19,0,15.43,0.96,0
 96-106,0,0,2.47,0,1.41,5.76,59.31,0,0,13.58,2.9,0,0,9.53,0.8,12.36,10.33,7.54,19.04,0,0,317.51,0,2.14,1.96,0,1.54,1.17,0,0,0,9.58,0.78,15.06,0,5.41
108-118,0,0,4.17,0.74,3.43,0.53,78.33,0.52,0,19.78,0.68,0,0,0.99,0,15.84,2.87,10.66,15.81,0,0,348.94,0,0.93,0.76,0,0,1.27,0,0,0,10.64,0,5.65,5.42,0.87
120,0,0,0,0,6.43,0,69.33,0,0,0,4.01,0,0,12.8,0,33.31,0,0,22.42,0,0,435.05,0,1.09,0,0,2.03,1.1,0,0,0,5.66,0,2.45,0,0
