stage,axial,blastomeres,eye,glial,immune,iridophores,mesenchyme,mural.cell,neural,olfactory,paraxial.mesoderm,pericytes,periderm,spinal.cord
  5-6,0,28.4,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,8.35,0,4.35,0,0,0,0,0,18.44,0,4.1,0,4.39,0
 10-12,0,0,0,0,0,0,0,0,16.62,0,0,0,0,0
 14-21,0,0,0,0,0,0,0.86,0,1.87,0,0,0,0,0
 24-34,0,0,3.06,0,0,0,0,0,17.35,3.59,0,0,0,3.96
 36-46,0,0,0,0,0,0,0.55,0,29.43,0,0,0,0,3.3
 48-58,0,0,4.04,0.48,0,0,0,0,18.66,0,0,0,0,0
 60-70,0,0,10.23,0.6,0,0,0,0,14.59,0,0,0,0,11.71
 72-82,0,0,3.6,0.79,0.58,0.52,2.17,0,9.95,0,0,0,0,0
 84-94,0,0,3.81,0,0,0,0.75,1.37,3.01,0,0,0,0,0
 96-106,0,0,0.62,1.65,0,0,0,0,3.4,0,0,0,0,0
108-118,0,0,4.7,0.78,0,0,1.92,0,12.83,1.1,0,1.49,0,0
120,0,0,0,0,0,0,0,0,19.47,0,0,0,0,0
