stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,42.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,7.09,0,0,0,0,0,0,3.45,0,0,0,0,0,0,0,0,0,6.08,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,4.01,0,0,0,0,0,0,0,0,0,51.84,0,0,8.88,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.97,5.48,187.96,0,0,0,0,1.15,0,13.71,0,414.28,1.3,0,0,0,76.87,0,0,0.94,1.01,0,4.62,2.27,2.87,0,0,0,0,264.57
 24-34,0,2.51,0,3.5,0.89,604.9,0,0,1.1,0,16.01,0,8.53,2.05,1065.1,13.33,0,0.82,13.99,118.09,2.77,1.21,0,3.62,0,0,0,23.8,0,0,12.93,0,811.61
 36-46,0,0,0,1.36,0,346.99,0,0,1.31,0,10.08,0,8.23,0,953.89,0,0,0,1.88,85.49,0.88,0,0,4.32,1.96,0,0,4.95,0,0,3.76,0,633.13
 48-58,0,0,0,0.43,0,398.8,0,0.57,2.48,0,1.09,0,8.14,0,699.44,9.65,0.81,1.47,1.43,47.7,0,0,0,0,0,0,0,11.55,0,0,4.83,0,525.36
 60-70,0,0,0,3.03,0,292.75,0,0,11.81,0,0,0,2.84,0,349.99,5.12,0,0,0,18.97,1.68,0,0,0,0,0,0,2.69,0,0,0,0,221.8
 72-82,0,0,0,0,0.59,136.15,0,0,0.78,0,10.67,0,1.91,0,182.34,1.87,0,0,0,35.11,0,0,0,3.88,0,0,0,0,0,0,1.22,0,223.58
 84-94,0,0,0,0,7.56,299.47,0,0,1.48,0,10.86,0.74,6.26,0,527.94,0,0,0,0,28.32,0,0,0,3.28,0,0,0,3.51,0,0,1.43,0,229.1
 96-106,0,0,0,1.92,0,124.76,0.98,3.15,1.86,0,8.92,0,5.89,9.15,226.01,4.37,0,2.06,0,45.26,0,0,0,7.99,0,4.28,0,0,0.99,1.22,2.21,0.56,265.92
108-118,0,0,0.74,2.21,3.59,208.84,0,0,0,0,6.17,0,4.36,0.47,277.56,9.81,0,0,0,7.57,0,0,0,1.96,0,0,0,0,0,0,0.61,0,203.41
120,0,0,0,0,0,61.12,0,0,0,0,2.34,0,1.17,9.76,83.12,0,0,0,0,10.97,0,0,0,0,0,0,0,0,0,0,9.02,0,78.44
