stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,gut,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,neural,olfactory,paraxial.mesoderm,periderm,pgc,spinal.cord,taste,vasculature,xanthophores
  3-4,0,33.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.29,0,0,0,0,0
  5-6,8.77,70.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.2,0,0,0,0,0
  7-9,12.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.02,0,3.57,7.16,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.78,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,2.82,0.62,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.16,0,0,0,0.56,0,0,0,0
 60-70,0,0,0,0,0.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.28,0,0,5.59,0.85,0,0,0,0
 72-82,0,0,0,0,1.53,1.45,0,0,0,0,0,7.79,0.52,0,0,0,0,0,0,13.41,1.28,0,2.76,0.56,0,0,5,0
 84-94,0,0,0,0,2.61,0,0,0,0,0,0,7.45,0,0,0,0,0,0,0,0.92,0,0,9.6,0,0,0.66,2.09,0
 96-106,0,0,0,0,5.33,0,2.21,0,4.2,2.87,0.68,43.33,2.08,0,0.93,0,1.27,1.23,1.53,10.65,0,0,48.91,2.65,0,0,7.25,0
108-118,0,0,1.21,0.74,7.79,0,1.56,0.55,0,6.05,0,41.93,1.5,0.76,0.76,1.31,2.58,0,0,0.9,0,0,13.75,1.59,0,2.4,7.12,1.71
120,0,0,0,0,15.6,0,0,6.5,0,0,0,71.59,9.99,0,0,0,10.62,4.74,0,12.06,10.58,0,145.63,2.3,0,0,5.98,0
