stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle
  7-9,18.16,4.87,0,45.06,0,0,0,0,0,0,0,0,0,7.55,0,0,0,0,0,0,0,106.95,73.51,0,1097.6,0,0,4.57,0,0,0,0,0,0,0
 10-12,0,36.09,0,216.48,0,9.23,0,10.17,0,0,0,0,0,0,0,0,0,0,0,0,3.87,262.24,133.87,0,2587.95,0,0,0,29.34,209.65,0,104.15,0,0,0
 14-21,0,0,0,48.39,23.97,30.46,0,1.68,0,0,0,0,13.27,0,0,0,0,54.3,0,0,390.05,137.62,6.5,0,17.17,0,4.44,0,1089.26,1.47,134.52,4722.1,22.92,0,0
 24-34,0,0,0.65,7.71,9.31,2.98,0,2.5,0.68,0,7.19,2.02,0,0,0,0,0.65,142.14,0,0,493.4,23.92,0.7,0,0,0,1.89,0,10.08,0,57.11,1208.5,25.72,0,0
 36-46,0,0,0,0,0,0,0,2.12,3.98,0.58,0.58,0,0.58,0,0,0,0,128.92,0,0,99.78,2.37,0,0,0,0,0,0,0,0,5.77,38.81,1.19,0,0
 48-58,0,0,0,0,0,0,0,3.66,3.41,0,1.65,0,2.02,0,0,0,0,110.22,0,1.5,69.91,17.46,0,0,0,0,0,0,0,0,2.27,2.21,1.79,0,0
 60-70,0,0,0,0,0,0,0,0,0.93,0,0,0.7,25.75,0,0.59,0,16.12,98.93,0.85,0,61.75,16.78,0,0,0,0,0,0,0,0,2.57,0,0,0,0
 72-82,0,0,2.91,0,2.8,0.55,0,11,0.83,2.09,2.4,0.87,25.74,0,0,0,0,125.87,0,0,88.65,23.75,0,0,0,0,2.19,0,0,0,0.49,0,0.71,1.38,0.96
 84-94,0,0,1.32,0,1.02,0,0,15.13,0,0,0,0.69,52.61,0,0,0.78,0,88.67,0,0,77.18,0,3.07,0.57,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,12.82,0,1.62,0,0,9.16,0.72,2.75,0,2.16,35.02,0,0,1.6,0,78.55,0,0,67.31,12.28,0,0,1.2,0.83,0,0,0,1.1,0,0,1.73,0,0
108-118,0,0,0.81,0,0,0,0.53,7.25,0,0,0,0,25.04,0,0,0,0,64.24,0,0,42.36,7.75,0,0,0,0,11.14,0,0,0,0.66,0,0,0,1.31
120,0,0,0,0,3.66,0,0,4.51,0,1.21,0,0,99.2,0,0,0,0,36.71,0,0,141.3,14.86,2.74,0,0,0,0,0,0,0,1.03,0,0,0,0
