stage,epidermis,erythrocytes,eye,glial,gut,immune,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,periderm,somites,spinal.cord,vasculature
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,2.19,1.08,0,0,0,0
 24-34,0,0,0,1.12,0,0,0,0,0,0,0,1.08,4.84,0.65,0,0.61,1.07,0
 36-46,2.4,0,0,1.19,0,0,0,0,0,0,0,0,4.05,0,8.05,0,0,0
 48-58,0.4,0,0.97,1.42,0,0.42,0,0,0,0.92,0.52,0.79,2.13,0,0,0,0,0
 60-70,1.46,0,0,1.17,0,4.97,0,0,0,2.58,0,0,0,0,0,0,0,0.66
 72-82,0,3.73,0,2.71,0,0.5,0,0,0,4.79,0,0.78,3.46,0,0,0,1.36,0
 84-94,0,4.41,1,0,0,6.91,0.65,0,0,0.68,0,0,12.23,0,0.93,0,0,2.78
 96-106,0,0.8,0,7.41,0.89,2.13,0,0,0,8.33,1.68,0,1.58,0,2.83,0,0,0
108-118,1.5,1.94,2.2,0,0.63,3.67,0.65,0,0.54,4.56,0,0,3.15,0,0.98,0,0,0.45
120,1.18,0,4.62,0,0,1,0,2.53,0,0,0,0,7.25,0,4.32,0,0,0
