stage,eye,fin.mesenchyme,glial,immune,mesenchyme,mural.cell,neural,otic,spinal.cord,vasculature,xanthophores
 10-12,0,0,0,0,0,0,5.9,0,0,0,0
 14-21,0,0,0,0,0,0,0.8,0,0,0,0
 24-34,0,0,0,0.64,0,0,0,0,0.67,0,0
 36-46,0,0,0,3.21,0.73,0,0.87,0,0,0,0
 48-58,1.54,0,0,0,1.04,0,2.92,0,0.55,2.6,0
 60-70,3.44,0,9.43,4.05,0.74,0,7.71,0,0,0,0
 72-82,0,0.9,0.78,0,1.74,0,21.23,0,0,0,0
 84-94,2.61,0,0,6.67,0,0,1.32,1.82,0,0,0
 96-106,0,0,0,0.73,0,0.75,2.71,0,0,0,0
108-118,0,0,0,4.73,6.98,0,5.71,0,0,0.42,0.92
120,0,0,0,2.88,11.38,0,22.46,0,0,0,0
