stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,7.56,56.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.03,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,2.72,0,0,0,0,1.79,0,0,0,0,0,0,0,0,0,0,0,0,16.06,0,0,0,4.65,0,0,0,0,7.51,0,0,0,0,0
 24-34,0,0,0,0,6.09,0,0,0.85,0,0,0,2.05,0,2.15,0,0,0,0,0,0,0,2.02,0,0,1.27,71.6,0,0,2.07,0,0,2.85,0,0,6.02,0,0,0,0,0
 36-46,0,0,0,0,6.55,0,0,3.6,0,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61,24.9,0,0,0,0,0,0,0,0,0.66,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,6.92,0,0,0,0.64,0,0,0,0,0,0,0,0,0,3.29,0,0,0.42,41.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,953.88,12.32,0,0,0,7.88,0,0,0,0,5.1,0,0,4.92,0,3.25,0,0,1.67,140.34,0,0,0,0,0,0,0,2.06,9.39,0,0.6,0,0,0
 72-82,0,0,1.74,0,36.42,57.11,13106.58,360.32,0,3.84,2.9,73.11,12.67,0,3.86,13.1,23.76,7.36,1.69,49.27,0,175.42,7.01,1.79,15.98,1657.16,5.14,10.1,16.46,0,2.24,76,3.23,0,76.28,6.95,6.94,43.64,9.14,28.32
 84-94,0,0,0,0,58.96,79.85,24715.17,432.54,0,0,7.38,52.13,4.57,1.3,3.01,9.94,2.59,14.99,1.67,28.08,7.65,165.99,17.59,9.82,17.03,1681.76,0.9,12.1,17.62,0,0,71.58,1.18,0.64,39.81,7.75,2.77,13.29,8.97,17.75
 96-106,2.68,0,24.91,0,517.95,1091.38,108292.06,3426.45,44.06,102.74,80.86,883.9,237.34,0,47.03,198.23,69.06,75.37,40.58,732.21,22.08,1943.72,65.17,103.72,171.66,9054.19,23.52,108.58,94.88,0,56.14,1198.23,12.53,8.25,155.43,46.71,56.41,463.36,106.57,175.1
108-118,0,0,33.02,0,776.98,673.72,273555.82,6563.29,63.66,186.57,178.04,1459.82,221.58,0,28.61,186.29,95.56,226.37,59.16,534.73,184.31,2875.57,111.92,104.41,315.75,14437.57,55.73,105.36,133.72,0,92.06,1498.24,21.04,20.11,386.15,86.88,67.73,287.17,88.72,557.91
120,3.94,0,23.92,2.94,950.73,534.16,133587.2,4122.08,74.69,125.86,150.28,2293.47,132.54,0,77.04,325.34,68.26,66.36,54.32,361.69,17.56,3108.99,26.56,185.7,239.5,16805.48,108.5,161.78,204.96,0,81.29,712.87,186.64,19.01,403.98,10.37,134.96,565.91,107.92,150.16
