stage,axial,blastomeres,endoderm,epidermis,erythrocytes,fin_epithelia,heart,lateral_line,mesenchyme,neural,paraxial_mesoderm,periderm,pgc,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,13.35,348.13,0,0,0,0,0,0,0,0,0,20.13,0,0,0,0
  5-6,7.16,290.05,0,0,0,0,0,0,0,0,0,8.08,0,0,0,0
  7-9,7.69,0,6.05,0,0,0,0,0,0,78.18,19.17,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,11.97,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0
 24-34,0,0,0,0.68,0,0,0,1.32,0,1.7,0,0,0,1.67,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.77,0,0,0,0,0,0
 48-58,0,0,0,0,0,1.44,1.26,0,0.42,4.2,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,1.62,0,0,0,0,0,0
 72-82,0,0,0,0,1.78,0,0,0,0,4.85,0,0,0,0,0,0
 84-94,0,0,0,0,0.69,0,0,0,0,0.92,0,1.52,0,0,0,0
 96-106,0,0,0,0.6,1.48,0,0,0,0,0,0,0,0,0,0,1.04
108-118,0,0,0,0,1.55,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,12.51,0,0,0,0,0,0,0,0,0,1.32,0
