stage,axial,blastomeres,epidermis,eye,lateral.line,mesenchyme,muscle,neural,otic,paraxial.mesoderm
  3-4,0,42.32,0,0,0,0,0,0,0,0
  5-6,0,29.08,0,0,0,0,0,0,0,0
  7-9,20.62,0,0,0,0,0,0,13.04,0,0
 10-12,0,0,0,0,0,0,0,0,0,4.07
 14-21,0,0,0,0,0,0,0,0.88,0,0
 24-34,0,0,0.86,0,0,0,0.78,0,0,0
 36-46,0,0,2.31,0,0,0,0,1.06,6.74,0
 48-58,0,0,0,0.37,0.39,0,0,0.45,0,0
 60-70,0,0,8.35,3.32,0,0.89,0,1.57,0,0
 72-82,0,0,1.18,0,0,0,0,1.38,0,0
 84-94,0,0,0.57,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,1.75,0,0
108-118,0,0,0.58,0,0,0,0,0,0,0
120,0,0,2.95,0,0,0,0,0,0,0
