stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.05,16.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,16.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.78,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.87,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,109.12,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,85.1,0,0,0,3.74,0,0,4.83,0,0,0,0,0.89,0,0,0,0,0
 24-34,0,0,319.61,0,0,0,0,9.7,0,0,0,0,0,0,1.61,3.24,0,0,569.21,1.46,0,14.5,56.3,0,0,5.85,0,1.4,0,1.14,10.18,0,0,0,0,0
 36-46,0,0,233.91,0,0,1.99,0.83,70.81,20.59,0,0,0.56,0.95,0,0,8.5,0,0,972.58,3.57,0,99.79,119.24,0,3.13,6.37,0,10.81,0,0,6.51,0,0,0,0,12.1
 48-58,0,0,123.63,1.97,0,19.19,0,106.9,36.78,8.11,0,0.87,0,0,0,2.37,0,0,834.97,0,4.04,77.04,78.38,0,1.09,14.59,0,0,0,0,4.71,0,0,0.44,0,0
 60-70,0,0,70.12,0,0,16.46,0,79.11,68.21,7.3,0,0,0,0,0,1.36,2.4,0,1111.2,3.6,1.04,42.3,51.59,0,6.41,4.12,1.92,0,0.57,0,0.86,0,0.73,0,0,0
 72-82,0,0,79.53,0,0,89.59,0.65,87.11,102,14.2,0,0,0,0.65,0.57,2.65,0,0,2111.73,0.77,15.34,72.71,82.32,0,3.54,8.8,0,3.48,0,0,2.18,1.68,15.92,2.08,12.68,0
 84-94,0,0,136.01,2.52,0,87.38,2.68,92.59,53.93,7.57,0,0,1,2.7,0,0,0,6.93,1454.77,0,11.19,42.17,49.87,0,4.07,2.28,0,3.14,2.8,0,12.8,0.56,5.11,7.28,1.44,0
 96-106,0,0,192.57,0.64,0,85.74,5.09,126.72,75.32,10.4,0.6,3.13,2.63,2.35,0,8.83,2.5,0,2243.59,0.76,31.35,87.74,108.63,0.73,16.07,7.19,6.89,11.14,0.88,0,0,0,23.81,0.67,7.26,0.73
108-118,0,0,186.31,8.34,1,69.2,0,166.85,57.15,7.87,1.94,1.35,4.07,1.6,0,9.32,8.41,0,3152.34,3.59,44.74,66.94,150.45,0.41,8.92,3.4,3.28,1.56,0,0,0.83,1.09,11.58,4.69,14.18,0
120,2.23,0,129.52,13.37,0,53.19,0,72.27,76.69,14.26,0,0,10.59,2.37,0,17.86,0,0,1502.78,7.61,16.67,39.14,94.4,0,2.76,2,11,13.64,3.7,0,0,0,28.38,0,7.84,0
