stage,axial,blastomeres,endoderm,epidermis,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,120.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.6,0,0,0,0,0,0,0
  5-6,13.46,376.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.33,15.19,0,0,4.03,0,0,0,22.37,0,0,0,0,0,0,177.41,0,0,57.44,4.34,12.73,0,0,0,0,0,0
 10-12,0,0,25.83,0,6.26,0,0,0,0,0,0,0,0,0,0,34.42,0,0,18.44,0,0,0,0,0,0,0,0
 14-21,0,0,0,7.53,0,0,2.26,0,0,0,0,0,0,3.82,0.87,31.38,0,0,1.63,0,0,4.8,2.55,9.42,0,0,0
 24-34,0,0,0,1.36,0.6,0,0,0,0,0,0,0,0,0.69,0,13.46,0,0,0,0,0,0,0,6.84,0,0,0
 36-46,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0.61,0,12.08,1.01,0.77,0,1.05,0,0,0,0,0,0,0
 48-58,0,0,0,0,0.55,0,2.68,2.39,0,0,0,0,0,1.86,0.4,10.94,0,0,0,0,0,0,0,0.74,0,0.5,0
 60-70,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0.64,0,0.82,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.54,1.59,0,1.77,0,0,0,0,0,0,5.13,0,7.36,0,0,0,4.11,0,0,0,0,0.56,2.39,0
 84-94,0,0,0,8.46,3.28,0,6.78,0,0.66,0,0,0,0,6.75,0.55,0,0,0,0,3.77,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.21,0,0,0,0,0,0,0.74,0.79,0.6,0,0,0,0.66,0,0,0,0,0,0,0,1.21,0.56
108-118,0,0,0,1.8,1.43,0.96,0,0.69,0,1.49,0,0,0,1.92,0.45,9.15,0,0,0,6.29,0,0,0,0,0,4.57,0
120,0,0,0,0,0,0,0,0,0,0,2.59,0,0,5.64,0,10.63,1.26,2.11,0,1.27,0,0,0,0,0,0,0
