stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,somites,spinal.cord,taste,visceral.smooth.muscle,xanthophores
  5-6,6.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,28.48,0,0,0,0,0,0,0,0,0,0,0,0,0,76.03,0,0,0,13.87,0,0,0,0,0,0,0,0,0
 10-12,3.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.71,0,0,0,3.88,0,0,0,0,0,0,0,0,0
 14-21,0,7.36,0,0,2.51,0,0,0,0,0,0,0,0,0,4.14,0,0,0,35.21,1,0,0,0,0,0,0,2.16,0.81,13.03,0,0,0
 24-34,0,0,0.62,0,1.62,0,0,1.18,0,0,0,0,0,0,3.21,0,0,0.86,38.89,0,0,0,0,0,1.55,0,0,0.63,5.18,0,0,0
 36-46,0,0,0,0,6.57,0,0,1.95,0,0,0,0,0,0,0.71,0,0,0,33.98,0,0.73,0,0,0,0,0.81,0,0,8.85,0,0,0
 48-58,0,0,0,0,6.18,0,0,0.8,0,0,0,0,0,0,3.13,0,0,0,26.48,0,0,0,0,0,0.97,0,0,0,4.27,0,0,0
 60-70,0,0,0,0,16.13,0,0,2.57,0,0,0,0,0,0,3.5,0,0,0,9.7,0,0,0.62,0,0,0,0,0,0,6.6,0,0,0
 72-82,0,0,0,10.36,6.26,0,0.83,2.55,1.3,0,0,0,0,0.64,7.11,0,0,0,4.94,0,0,0,0,0,0,0,0,0,0,0.95,0,0
 84-94,0,0,0,0,1.03,0,1.26,8.68,0,0,0,0,0,0,0,0,0,0,1.97,0,0,0,0,0,0,0,0,0,3,0,0,0
 96-106,0,0,0,100.81,10.21,0,0,0.81,0,0,0,0,1.13,0,5.51,0,0,0,6.42,0,0,3.4,0,0,1.38,0,0,0,0,0,0,0
108-118,0,4.84,15.04,1036.67,36.96,1.79,2.91,4.51,0.91,0,0.97,0.47,0,1.73,10.09,7.12,1.96,1.92,55.95,3.36,0,0,0,1.1,1.53,0,0,0,0,0.6,0.72,7.36
120,0,0,0,262.08,5.67,0,0,14.27,0,1.61,0,0,0,0,3.91,0,0,0,44.84,0,0,0,0,0,0,0,0,0,0,0,0,0
