stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,somites,spinal.cord,vasculature
  3-4,205.94,3469.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.63,0,0,0,0,0
  5-6,44.48,1036.08,0,0,0,0,0,0,0,0,0,0,0,15.33,0,0,8.57,23.44,0,0,0,0,0
  7-9,7.63,7.23,0,0,0,16.07,0,0,0,0,0,0,0,116.39,6.55,0,40.03,0,10.78,0,0,0,0
 10-12,0,14.09,15.87,0,0,33,0,0,0,0,0,0,0,217.82,0,0,31.87,0,19.61,0,0,0,0
 14-21,0,0,0,1.89,3.04,5.61,0,0,0.96,0,1,0,0,37.05,0,0,0,3.46,0,0.9,14.4,9.29,0.83
 24-34,0,0,0,1.38,2.17,4.64,0,0,0,0,0.59,0,0,10.77,0,0,0,4.92,0,0,2.35,0.99,1.54
 36-46,0,0,0,0,0,0,0.68,0,0,0,1.57,0,0,10.88,0,0,0,2.46,0.81,0,0,0,0
 48-58,0,0,0,2.29,0,0.42,0,0,0,0,0,0,0.42,8.15,0,0,0,2.17,0,0,0,0.7,0
 60-70,0,0,0,0,0,3.67,0,0,0,0.74,0,0,0,9.94,0,0,0,1.33,0,0,0,0,0
 72-82,0,0,0,0,0,3.66,0,0,0,2.13,0,0,0,7.68,0,2.41,0,3.8,0,0,0,0,0
 84-94,0,0,0,0.87,0,0.59,0,0.61,0,0.62,0,0,0,5.67,0,0,0,6.5,0,0,0,0,0
 96-106,0,0,0,1.8,0,3.56,0.68,0,0,0.57,0,0,0.89,3.36,0,1.07,0,12.81,2.22,0,0,0,0
108-118,0,0,0,2.35,0,0,0,0,0,1.86,4.02,0.97,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,6.37,0,0,0,0,0,3.29,0,0,0,16.02,0,2.25,0,2.47,1.53,0,0,0,0
