stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,somites,spinal.cord,taste
  3-4,106.76,1181.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1112.13,0,0,0,0,0
  5-6,14.5,556.29,0,0,0,0,0,0,0,0,0,0,10.93,0,0,0,0,0,0,0,0,0,47.2,0,0,0,0,669.82,0,0,0,0,0
  7-9,0,7.47,0,0,0,0,0,31.46,0,0,0,0,77.93,0,0,0,0,0,0,0,0,0,182.84,0,0,0,80.49,40.78,5.15,0,0,0,0
 10-12,0,9.81,0,0,0,0,0,22.45,0,0,0,0,283.49,0,0,0,0,0,0,0,0,0,617.4,0,0,0,80.2,0,5.62,0,0,0,0
 14-21,0,0,0,4.86,33.41,2.87,0,9.98,0.82,0,1.49,2.12,159.56,0,37.64,0,0,0,1.79,0,0,0,100.61,4.33,4.4,1.88,2.01,22.05,0,3.76,1.8,9,0
 24-34,0,0,0,0.76,5.34,0,0,6.38,0.69,0,0.94,2,20.65,0,31.61,0,0,0,1.41,8.12,0,0,37.52,0,10.78,0,0,1.48,0,0,0,2.45,0
 36-46,0,0,0,0,4.07,0,0,7.01,0,0,0,1.31,0.68,0,7.27,0,0,1.21,2.7,2.13,0,1.28,35.23,0,11.54,0.56,0,8.71,0,0,0,0.7,0
 48-58,0,0,0,0,11.4,0,0,6.36,0,0,1.56,2.65,3.51,3.28,16.76,0,0.9,0,0,3.31,0,0,15.91,0,12.16,0.43,0,0,0,0,0,0,0
 60-70,0,0,0,0,16.63,0,0,6.07,0,0,0.79,3.73,0,0,4.74,0,0,1.45,0,0,0,0,29.96,0,3.27,0,0,0.87,0,0,0,1.65,0
 72-82,0,0,0.69,0,21.39,0,0,6.74,0,0,1.73,6.43,3.24,0,9.12,2.14,0,0,9.36,10.99,1.11,0,21.63,0,12.64,0,0,0,0,0,0,0,5.67
 84-94,0,0,2.48,0,25.79,0,0,3.15,0,1.53,1.27,14.81,0.6,0.75,22.85,0,0,0,3.58,9.73,0,0,13.03,0,9.71,0,0,0.6,0,0,0,0,10.43
 96-106,0,0,0,0,22.86,1.41,0,3.23,0,0,1.53,24.37,0,2.39,16.58,0,0,0.74,3.99,10.37,0,0,15.09,0,4.33,0,0,0,0,0,0,0,13.01
108-118,0,0,0,0,29.27,0.57,0.59,4.58,0,0,1.01,21.49,0,0.61,23.52,0,0,6.77,6.84,9.64,0,0,9.99,0,6.95,0,0,4.46,0,0,0,0,16.88
120,0,0,0,0,36.05,0,0,16.79,0,0,0,24.2,0,9.66,22.28,1.01,0,0,0,0,0,0,8.67,0,5.09,0,0,0,0,0,0,0,17.44
