stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,glial,gut,ionocyte,mesenchyme,neural,periderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,11.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,5.66,0,0,0,0,0
 14-21,0,3.19,5.6,0,0,0,1.2,0,0,0,8,1.08,0.9,2.54,0,0
 24-34,0,2.07,0,0.69,22.79,0,0,1.57,0,0.99,25.62,0,0,1.68,0.98,0
 36-46,0,0,0,0,32.26,0,0,0,0,0,30.12,0,0,0,0,0
 48-58,0,0,0.77,0,20.57,0,0.92,0.61,0.49,0,20.6,0,0,0,0,0
 60-70,0,0,0,0,17.15,0,0,1.6,0,2.71,12.67,0,0,0.76,0,0
 72-82,0,0,0,0,7.42,0,0,0,0,0,0,0,0,0,3.46,0.52
 84-94,0,0,0,0,10.91,0,0,0,0,1.54,15.6,0,0,0,0,0
 96-106,0,0,0,0,1.86,5.51,0,2.08,0,0,0.94,0,0,0,0,0
108-118,0,0,0,0,1.9,0,0,1.2,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,1.32,0,0,14.87,0,1.94,0,0,0
