stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,33.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.87,0,54.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.36,3.67,0,10.1,0,0,0,0,0,0,0,0,0
 10-12,0,32.26,987.14,0,99.55,0,7.63,0,0,0,0,7.76,0,0,0,0,0,0,0,0,0,2158.89,24,0,221.09,0,3.1,0,123.23,4.75,0,0,0,0
 14-21,0,0,31.25,1608.2,52.79,0,0,0,0,0,27.75,17.62,10.51,15.64,0,0,0,379.68,2.73,0,83.95,123.44,1.48,0,26.15,0,28.58,15.64,0,2.79,0.97,0,0,0
 24-34,0.88,0,8.52,380.18,3.74,0,7.1,0,0,1.25,75.98,0,30.43,0,11.61,0,5.37,454.26,0,2.43,54.76,92,1.11,0,0,2.98,7.76,0,2.8,1.84,11,0,1.83,0
 36-46,0,0,2.38,62.83,0,0,0,1.69,0,0,22.13,0,25.16,0,0,0,2.49,160.58,0,15.7,29.74,51.45,0,0.61,0,2.85,0.61,0,0,0,3.77,0,0,0
 48-58,0,0,0,32.43,0,0,8.47,0,0.88,0,16.11,0,9.8,0.91,0,3.85,2.81,75.5,2.67,12.48,16.72,35.01,0,0,0,8.66,0,0,0,0,4.13,1.89,0,3.02
 60-70,0,0,0,12.21,0,0,2.22,0,1.68,0,17.13,0,8.47,0,0,0,1.98,39.17,0,1.41,0,24.75,0,0,0,1.92,0,0,0,0,1.01,0,0,2.76
 72-82,0,0,0,4.9,0,0,2.48,0,0,0.71,0,0,0,0,0,0,0,33.98,0,0,0.56,17.33,0,1.4,0,0,0,0,0,0,0,0,0,0.9
 84-94,0,0,0,1.48,0,0,5.83,0,0.99,0,2.02,0,0,0,0,0,2.99,22.2,0,5.74,0,26,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,2.06,0.63,0,0,0,0,0,0,6.91,0,0,0,5.83,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0.43,0,0,0,0,0,0,0,0,0,0,0,9.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,8.87,0,0,0,0,0,0,0,0,0,0,0,5.25,0,0,0,0,0,0,0,0,0,0,0,0
