stage,epidermis,erythrocytes,eye,fin.mesenchyme,glial,ionocyte,mesenchyme,muscle,neural,pericytes,periderm,presomitic.mesoderm,spinal.cord
 14-21,0,0,0,0,0,0,0,0,2.35,0,0,0.84,0
 24-34,0,0,0,0,0,0,0,0,2.7,0,0,0,0
 36-46,0,0,0,0,0.75,0,0.57,0,1.99,0,0,0,0
 48-58,0,0,1.32,0,1.72,0,0,0,2.12,0,0,0,0
 60-70,1.07,0,0,0,0.6,0,1.42,0.97,9.51,0,0,0,0
 72-82,2.49,0,0.87,0,1.8,0,0.63,0,0,1.2,0,0,2.67
 84-94,0,0,11.62,0,0,0.86,1.67,1.34,0.75,0,0,0,0
 96-106,0,0,0,1.14,0,0,0,0,0,0,0,0,0
108-118,0,0.74,5.84,0,0,0,0,0,8.13,0,0,0,0
120,0,0,3.08,0,0,0,5.24,0,4.65,0,1.03,0,0
