stage,blastomeres,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,iridophores,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.32,0,0,0,0
  5-6,7.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.42,0,0,6.02,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1.45,0,0,0.89,0,0,0,0,0,0.81,0,0,0,0.94,5.72,2.75
 24-34,0,0,0,0,1.21,0,0.61,0,0,17.46,4.48,0,2.32,0.7,0,0,0,0,0,1.13,7.61,10.17
 36-46,0,0,0,0,2.07,0,0,0,11.78,23.1,0.77,0.57,28.15,0,0,0,0,0,0,0,7.85,9.47
 48-58,0,0,0,0,0,1.23,0,0,27.96,19.8,0.5,0,66.24,0,0,0,0,0,0,0,19.88,12.52
 60-70,0,0,2.31,3.31,0,4.38,0,0.57,41.37,8.87,0.94,0.8,115.9,0,0,0,0,0,0,0,77.73,10.62
 72-82,0,0.49,20.81,0,0,3.68,0.64,2.57,49.09,10.8,5.58,0,115.08,0,0,0,1.4,0,0,0,84.14,8.24
 84-94,0,2.2,11.51,0,0,5.65,0,0,72.79,9.85,0.64,0,127.75,0,0,0,0,1.16,0,0,34.45,8.37
 96-106,0,0,8.21,0,0,0.59,0,0,57.85,1.99,8.01,0,107.18,0,0,0,0,0,0.82,0,22.65,0
108-118,0,0,19.76,0,0,4.21,1.73,0,70.45,5.53,3.47,0,151.25,0,1.19,0,0,0,0,0,11.74,0
120,0,0,11.15,0,0,2.56,0,0,41.17,2.87,2.64,0,161.45,0,0,0,0,0,0,0,32.1,0
