stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,21.57,56.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.83,19.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,6.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.4,0,0,0,8.19,0,0,0,7.9,0,0,0,0,0,0
 14-21,0,0,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,3.42,0,0,0.99,6.17,1.24,0,1.09,0,0,0,0.97,0,4.48,0,0,0,0,0
 24-34,0,0,0,2.43,0,2.41,0,0,0,0,0,1.02,0,0,0,0,4.51,0,0,0,12.1,2.58,1.45,0,0,0,16.85,0,0,5.94,0,0,2.15,0,0.79
 36-46,0,0,0,1.03,0,0.63,0,0,0,0,0,0,0,0,0,0,8.74,0,0,1.96,33.79,2.65,0.63,0,0,0,15.86,0,0,6.76,0,0,0,0,5.37
 48-58,0,0,0,0,0,7.92,0.47,0,3.03,0,0,0,0.57,0,0.42,4.43,5.89,0,0,3.3,84.78,2.65,0.38,0,0,0,17.02,0,0,12.81,0,0,4.89,0,0
 60-70,0,0,0,7.12,0,23.75,0,0.86,6.79,0,0,0,4.79,1.71,2.77,0,5.25,1.46,0.66,0.82,82.78,0,0,0,0,0,9.02,0,0,7.85,0,0,0,0,0
 72-82,0,0,0,1.26,0,18.5,0,0.51,2.59,0,0,0,1.18,0.74,12.68,0.6,17.98,1.87,0,1.76,76.14,0,0,0,0,0,13.34,0,0,5.19,0,1.7,0.93,0.53,0
 84-94,0,0,0,4.89,2.32,14.12,0.94,0,0,0,0.6,0,0,3.15,5.92,0,14.55,3.94,0,0.56,67.86,1.3,4.65,0,0,0,63.14,0,0,9.62,0,0,0,2.54,0.74
 96-106,0,0,0,21.02,0,20.16,0.66,0,6.92,0,0,0,6.11,0.73,9.98,0,15.58,0,0,3.82,67.11,0,4.48,0.91,0,2.9,80.68,0,0.67,1.98,0,7.52,2.92,1.43,0
108-118,0,0,0,12.33,2.58,3.89,1.78,0,2.61,0.44,0,0,2.61,3.76,4.69,0,5.67,2.09,2.4,2.06,30.38,2.26,3.86,3.15,0,0,58.06,0,0,3.87,0.48,4.09,1.68,2.37,0
120,0,0,0,23.27,0,26.15,1.62,0,0,2.87,0,0,3.51,0,0,0,27.53,0,19.84,0,69.01,5.39,2.97,0,0,0,99.84,0,0,9.45,0,0,0,3.36,0
