stage,axial,blastomeres,epidermis,eye,fin_epithelia,fin_mesenchyme,hatching_gland,ionocyte,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,somites,spinal_cord
  3-4,113.43,893.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.06,0,0
  5-6,8.73,449.21,0,0,0,0,0,0,0,0,0,35.79,0,0,0,8.83,0,0,0
  7-9,4.21,0,0,16.74,0,0,4.2,0,0,0,0,53.46,0,0,0,25.84,0,0,0
 10-12,0,0,0,0,0,0,4.92,0,0,0,0,16.73,0,0,0,0,0,0,0
 14-21,0,0,0.89,0,0,0,0,0,0,0,1.02,0.99,0,0,0,0,0.92,0.97,1.29
 24-34,0,0,0,0,0,0.72,0,0.59,0,0,0,1.05,0.92,0,0,0,1.48,0,0
 36-46,0,0,3.34,0,0,0,0,0,0,0,0,0,0,0,0,0,6.54,0,0
 48-58,0,0,0,0,0,0,0,0,0.38,0.94,0,0.82,0,0,0,0,5.25,0,1.74
 60-70,0,0,0,0,0,0,0,0,1.55,0,0,0,0,0,4.77,0,6.57,0,0
 72-82,0,0,0,0,0,0,0,0,3.79,1.61,0,0,0,0.7,0,0,7.9,0,0
 84-94,0,0,0,0,0,0,0,0,9.51,1.25,0,0.96,0,0,0,0,12.37,0,0
 96-106,0,0,1.33,0,0,0,0,1.31,0,0,0,3.31,0,0,0,0,10.37,0,0
108-118,0,0,0,0,0.46,0,0,0,7.64,0,0,0,0,0,1.71,0,18.17,0,0
120,0,0,0,0,0,0,0,0,3.37,0,0,0,0,6.75,6.24,0,24.88,0,0
