stage,blastomeres,epidermis,exocrine_pancreas,eye,glial,lateral_line,mesenchyme,neural,notochord,otic,paraxial_mesoderm,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,30.64,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.71,0,0,0,0,0,0,11.25,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,4.36,0,0,4.82,0,0,0
 24-34,0,0,0,0,0,7.97,0,0,0,0,0,0.81,0,0
 36-46,0,0,0,0,0,0.6,0,16.41,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,1.86,0,0,0,1.08,0,0
 60-70,0,0,0,1.39,0.76,28.12,1.05,1.56,0,1.23,0,0,0,0
 72-82,0,0,0,0,0,90.81,0,5.11,0,2.92,0,0,4.44,0
 84-94,0,0,0,2.11,0,197.5,0,1.89,0,1.68,0,0,0,0
 96-106,0,0,0.97,0,0,174.81,0,4.5,0.73,0,0,0,0,0
108-118,0,0.67,0,0.48,0.73,305.73,0,4.66,0,0,0,0,0,0
120,0,0,0,4.29,0,216.3,0,7.46,0,0,0,0,0,3.15
