stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0.88,0,0,0,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190.5,2.39,0,0,0,1.89,1.96,0.85,0,3.33,193.37,0,0,0,0,0
 24-34,0,0,3.52,0,0,1.12,0,0,0,0.89,0,0,0,0,0.68,0,0,0,0,4.82,0,0,3.18,1407.09,1.52,0.95,0,0,8.02,0,17.07,0,0,1053.35,0,0,8.54,0,0
 36-46,0,0,2.02,0,0,58.85,1.17,1.39,0,2.28,0,3.2,0,0,0,0,0,0,0,8.12,0,0,6.8,3094.7,13.52,0,0,0,1.09,0,17.16,0,0,1770.5,0,0,0,0,0
 48-58,0,0,19.52,0,0,397.23,16.38,2.61,0,21.86,0,0,0.55,4.47,0,13.44,0,1.77,0,22.1,0,0.75,2.02,4535.83,0,4.5,9.51,0,8.5,0,8.16,0,0,1315.9,0,0,6.81,0,5.33
 60-70,0,0,13.18,0.58,0,2091.35,1.71,1.96,0.9,18.38,1.76,0,0,0.6,0,0.98,0,0,0,33.71,0,1.05,2.63,5620.21,7.37,0.96,3.38,0,28.87,0,3.92,0.62,0,1279.6,0,0,11.11,2.72,19.53
 72-82,0,0,22.66,4.77,0,4183.4,1.91,1,5.46,109.45,1.12,0,0,5.05,0.56,9.32,0,8.83,0,90.29,0.55,7.86,7.24,7251.82,0,2.01,5.24,7.01,5.66,0,8.66,1.01,0,989.16,13.15,3.98,6.99,0,16.78
 84-94,0.86,0,54.62,3.14,1.39,3477.27,0.98,0,0.74,131.06,0,0,0,1.29,0,4.28,1.41,1.81,8.57,64.25,0.76,4.45,4.49,4647.93,4.49,1.03,6.9,0,22.7,0,11.95,0,0,627.73,8.18,0.63,1.27,2.14,12.27
 96-106,0,0,45.45,14.69,0.62,3512.48,0,1.52,2.5,147.89,8.52,0,0,3.4,2.13,2.58,4.25,19.63,0,79.84,3.33,0.85,5.51,4614.17,1.35,2.29,20.44,1.47,34.34,0,7,2.3,0,279.83,10.83,0,3.35,4.72,17.11
108-118,0,0,43.39,10.55,3.04,3692.51,1.78,1.26,5.3,208.26,2.35,0,0,3.77,0.65,7.25,0.53,0.85,0.61,92.89,3.05,3.21,4.1,4524.02,0,1.3,10.12,0,26.74,0,5.89,2.83,0,211.5,12.96,3.5,7.16,0.97,0
120,0,0,33.58,0,0,3863.08,6.5,2.5,0,227.33,1.74,0,0,4.83,0,0,4.6,0,0,126.53,0,40.05,11.41,6533.26,7.03,27.85,19.8,3.68,18.18,0,9.61,1.63,0,267.72,0,0,14.18,0,0
