stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord
  3-4,36.06,878.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.63,0,0,0,0,0
  5-6,14.61,413.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.19,0,0,0,0,12.97,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.76,0,0,0,4.62,3.28,3.47,0,0,0,0
 10-12,0,0,0,0,9.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.1,0,0,0,3.57,3.1,21.49,0,0,0,0
 14-21,0,0,0,13.84,1.74,0,0.89,0,2.61,0,0,0,1.02,0,0,0,1.61,0,1.18,18.09,0,0,0,0,4.69,2.13,0,4.1,12.05,10.98
 24-34,0,0,0,6.3,0,0,1.78,17.52,15.68,0,0,0,0.67,0,0,0,5.44,0,1.69,23.2,2.77,0,0,0,0.89,0,0,2.3,9.16,3.07
 36-46,0,0,0,0,0,0,2.2,0,31.47,0,0,0,0,0,0,0,1.27,0,0.6,42.76,0,0,2.69,0,0,0,0,0,0,0.9
 48-58,0,0,0,0.41,0,0,0.97,0,20.16,0,0,0,0,0,0,0,1.84,0,0.57,9.68,0,0.9,2.55,0,0,0,0,0,0,2.42
 60-70,0,0,0,1.73,0,0,3.04,0,12.97,0.86,0,0.63,0,0,0,0,1.14,0,0.98,11.84,0,0,2.49,0,0,0,0,0,0,2.51
 72-82,0,0,0,0,0,0.61,6.23,0,10.92,0.77,3.64,0,0,0,0,0,20.48,1.33,0.69,20.14,0,1.21,0.53,0,0,0.85,0,0,0,3.5
 84-94,0,0,0,4.07,0,0,8.1,0,13.85,0,1.97,0,0,0.7,0,0,7.92,0,5.39,1.15,0,6.35,0,0,0,0,0,0,0,3.15
 96-106,0,0,0,8.91,0,0,5.19,0,1.92,0,1.07,0.77,0,0.93,0,0,11.95,0,14,15.09,0,0,6.44,0,0,6.25,0.63,0,0,6.23
108-118,0,0,3.68,0,0,0,9.9,0,13.48,0,0,0,0,0,0.93,0,10.28,0,2.04,5.7,0,1.95,6.64,0,0,4.87,0,0,0,1.82
120,0,0,0,5.04,0,0,1.08,0,25.58,0,1.43,0,0,0,0,1.74,3.42,0,4.24,1.31,0,0,0,0,0,3.83,0,0,0,0
