stage,axial,blastomeres,epidermis,eye,glial,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,spinal.cord,xanthophores
  3-4,15.07,638.82,0,0,0,0,0,0,0,0,0,47.67,0,0,0,0,0
  5-6,6.56,145.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,31.28,0,5.25,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,5.94,0,7.62,0,0,0,0,0,0,0
 14-21,0,0,0.84,0,0,0,0,1.28,0,0,0,0,0,1.01,0,0.83,0
 24-34,0,0,3.1,0.85,0,0,1.7,14.19,4.46,0,0,0,0,0,0,0,3.2
 36-46,0,0,0,1.56,0,9.49,0,7.93,1.21,0,0,0,0.81,0,0,1.24,0
 48-58,0,0,0,1.26,0,2.24,0,8.57,0.47,0,0,0,0,0,0,2.81,0
 60-70,0,0,0,11.98,0.6,7.15,0,15.32,0,0,0,0,0,0,1.87,0,0
 72-82,0,0,0,4.36,0,5.45,0,13.96,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0.66,0,3.45,0.6,3.17,0,0,0.79,0,0,0,0,1.8,0
 96-106,0,0,0,6.11,6.02,11.75,0,5.84,0,0,0,0.92,0,0,0,0,0
108-118,0,0,0,1.19,0,5.95,0,16.46,0,0,0,0.82,0,0,0,1.9,0
120,0,0,0,18.94,0,0,3.76,9.43,0,0,0,0,0,0,0,0,0
