stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,liver,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,0,9.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,1973.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,959.22,0,0,349.01,0,0,0,0,0,0,0,0,0,0,0
  7-9,29.27,1366.69,0,1636.65,0,0,211.83,0,0,0,0,89.85,0,0,0,0,24789.91,980.18,0,55656.01,0,28.02,91.68,0,138.64,0,0,0,0,0,0
 10-12,3.8,1162.78,0,3432.31,0,7.85,161.09,0,0,0,0,22.16,0,0,0,0,18266.55,526.57,0,41760.28,0,25.98,139.17,32.95,2412.17,0,99.35,7.76,0,0,0
 14-21,0,0,0,0,34.52,10.67,0,0,4.61,0,0,0,0,13.73,0,1.8,75.23,20.47,0,573.07,0,15.16,0,1311.11,0.86,13.83,207.32,80.24,0,0,0
 24-34,0,0,0,1.04,0.87,0,0,0,2.6,0,0,0,0,0,0,0.65,0,0,0,0,0,0,0,0,0,0.93,3.4,0.73,0,0,0
 36-46,0,0,0,0,13.83,0,0,0,1.12,0,3.16,0,3.57,0,0,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0.63,0,0,0.99,0,0,0,14,0,0,0.59,0,0,1.09,0,0.68,0,0,2.42,0,0,0,1.29,0,0,0,0,0
 60-70,0,0,0,0,0,0,3.02,0,0,0,35.32,0,5.17,2.02,0,0,3.44,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0
 72-82,0,0,1.55,0.56,0,0,11.88,0,0,0.9,53.13,0,0,0,0,0,13.15,0,0,0,0,0,0,0,0,0,0,0,0,0.94,0
 84-94,0,0,1.43,2.08,0.74,12.27,10.16,0,0,0,81.72,0,4.39,0,0,0.59,4.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,5.26,6.58,0,0,0,0,1.58,69.5,0,1.99,1.05,0,0,33.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,3.62,0,0.69,0,6.12,0.84,0,0.72,84.05,0,1.87,0,1.84,0,11.27,0,0,0,1.23,0.58,0,0,0,0,0,2.92,0.54,0,8.04
120,0,0,0,3.17,3.47,0,12.17,0,0,0,75.83,0,0,0,0,0,10.05,0,0,0,0,3.24,0,0,5.22,0,0,0,0,0,0
