stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,9.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.11,0,0,0,4.28,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.57,0,4.3,0,0,0,0.86,0,0,0,0,0,0,0.95,0,0,3.86,28.88,0.87,0,0.89,0,0,7.07,1.63,0,11.54,5.07,7.84,0,0,0,0
 24-34,0,0,0.79,2.65,0,13.23,0,1.41,0.9,1.65,0,0,0,0,0,0,4.23,0,0,1.84,37.99,0.62,1.7,0.63,0,0,33.87,0,0,1.8,0,10.57,0,0,0,0
 36-46,0,0,0,0.64,0,21.15,0,2.21,0,0,0,0,10.22,0,0,0,6.04,0,1.93,3.66,41.44,11.26,3.75,0,0,0,78.24,0,0,3.22,0,5.75,0,0,0,0
 48-58,0,0,0,0.8,0,20.97,0.59,0.62,1.01,1.15,0,0,5.18,0,0,0,11.86,0,0,0.64,53.49,0,0.47,0.38,0,0,115.95,0,0,0,0,4.99,0,5.18,0,0.46
 60-70,0,0,0,8.06,0,26.21,0,0,0.93,12.35,0,0.7,0.65,0.84,0,0,39.22,0,1.34,5.98,31.67,0,0,0.85,0,0,186.93,0,0,3.26,0,0,0,0.87,0,3.3
 72-82,0,1.77,0,9.28,0,24.97,0,4.45,2.64,9.03,0,0,5.46,0,0,0,34.18,3.61,0,2.32,26.43,0,0.65,4.01,0,0.72,233.04,0,0,0,0,0.91,0,2.53,0,2.33
 84-94,0,0.8,0,18.63,0,7.93,0,10.53,4.86,3.77,0.9,0,9.7,0,0.76,0,23.54,3.12,0,0.76,24.18,0,2.4,1.7,0,0,658.69,0,0,0,0,2.86,1.15,2.38,0,0.7
 96-106,0,0,0,27.61,2.28,25.95,3.27,12.88,0.81,18.09,0.77,1.56,19.69,7.34,3.63,0,51.19,5.17,4.31,3.17,50.61,0,4.4,4.32,0,4.29,706.63,0,0,1.55,0,0,5.33,3.72,1.82,0
108-118,0,0,0,20.61,0,16.37,0,13.89,3.46,8.63,1.86,0,13.73,7.46,0.73,0.56,33.73,7.59,6.39,2.08,44.2,0,2.95,4.09,0,0,566.74,0,2.08,0.5,0,3.24,0,4.04,0,0.77
120,0,0,0,25.54,0,2.55,0,19.77,3.09,14.27,0,0,10.13,4.01,0,1.15,47.75,2.91,0,2.11,15.69,2.06,25.83,0,0,0,380.87,0,0,0,0,0,6.5,1.96,0,0
