stage,endocrine.pancreas,epidermis,eye,fast.muscle,glial,heart,iridophores,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,5.28,0,0,0,0,0,6.58,6.14,0,0,0,0
 24-34,0,1.97,15.29,0,0,0,0,0,0,0,0,96.22,7.67,0,0,0,4.44,0,9.98,0,0,0,0
 36-46,0.73,0,11.54,0.68,0,0,0,0,0,0,11.82,236.23,1.62,0,0,0,0,0,29.56,0,0,0,0
 48-58,0,0,13.12,0,1.39,0,0,0,0,0,0.54,219.53,0.77,0,0,0,0,0,21.43,0,0,0,0
 60-70,0,0,105.81,0,1.08,0,0,0,7.74,0,0,302.03,0.98,0,0,0,0,0,32.28,0,0,0,0
 72-82,0,1.42,387.3,0.56,9.62,0,2.96,0,9.51,0,0,515.38,9.11,4.66,0,0,0,0,21.13,0.95,0.51,0,9.26
 84-94,0,2.63,403.15,0,19.98,0.78,0,0,14.52,0,1.77,425.35,7.34,0,0,0,0,0,11.18,0,0,0,0
 96-106,0,3.58,640.22,0,11.92,0,0,0,8,0,0,523.81,12.28,0,0,0,1.24,0,9.21,6.39,0,0,0
108-118,0,1.95,644.27,0,22.84,0,1.01,1.8,3.19,5.54,2.4,710.67,9.01,0,0,0,4.94,0,3.64,0,3.98,0.55,7.57
120,0,17.83,597.27,0,19.57,0,0,0,2.83,0,6.3,1288.27,12.84,0,0,3.68,0,0,21.21,0,0,0,0
