stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,11.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.38,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,2.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.24,0,0,0,0,0,1.4,0,25.53,0,0,0,0,0
 24-34,0,1.56,0.68,0.63,0,2.4,2.83,0,0,0,1.49,0,0.99,0,0,0,0,0,0,0,1.37,299.93,1.22,0,0,0,0,0,0,97.73,0,0,0,0,0
 36-46,0,0.73,0,5.69,0,8.03,4.77,0,0,0,0.57,0,0,0,0,0,0,8.7,3.65,0,1.46,688,0,0,0,0,0,0,0,118.75,0,0,1.39,0,0
 48-58,0,0,0,0.79,0,66.51,3.83,5.31,5.47,0,0,0,0,0,1.03,0,0.57,42.38,0,0.74,0.4,956.31,0,0,0,0,0.4,0,0,82.96,0,0,0.38,0,12.24
 60-70,0,0,0,2.52,0,250.78,11.27,0,10.41,0,0,0,0,0,0,0,0,54.89,0,0,0.72,1364.97,0,0,0,0,0,0,0,140.56,0,0,0,0,0
 72-82,0,0,0,2.18,3.44,430.68,2.96,0,16.54,0.72,1.51,3.64,0,2.18,0,0,0,155.06,0,2.19,0,2242.7,0,0,0.78,0,0,0,0,124.85,4.21,7.55,2.8,1.22,0
 84-94,0,3.47,0,6.5,0,414.08,32.24,0,30.09,3.39,3.17,0,0,0,0,0,0,69.45,0,1.37,0,1585.54,0,0,5.5,0,5.21,0,0,76.14,0,2.41,1.59,0.63,0
 96-106,0,3.65,0,7.59,2.99,406.74,16.53,0,49.97,2.43,3.55,1.29,0,1.8,0,1.56,0,115.48,0,0,0.91,1684.75,0,0,4.62,1.83,0,0,0.73,43.32,0,0,7.79,4.54,0
108-118,0,0,0,10.65,0.72,533.69,31.58,1.11,61.6,3.17,3.51,0,0,1.24,1.99,1.1,0,73.54,0.45,0,0,2028.44,0,1.07,2.8,8.34,0.98,0,0,65.72,1.35,0,7.36,0,0
120,0,0,0,3.24,6.08,479.39,29.42,22.58,171.54,14.02,0,0,0,0,0,0,0,78.23,0,0,0,2628.17,3.99,2,8.74,2.67,0,0,0,112.85,5.98,0,2.09,0,0
