stage,epidermis,fin.epithelia,glial,gut,immune,ionocyte,liver,mucous,neural,olfactory,periderm,taste
 24-34,0,0,0,0,0,0,0,0.64,0.71,0,7.59,0
 36-46,0,0,0,0,0,0,0,0,0,0,26.66,0
 48-58,0,0,0.97,0,0,0,0,8.5,1.15,0,31.35,0
 60-70,1.23,0,0,0,0,0.64,0,15.64,1.23,0,32.1,0
 72-82,1.23,0,0.68,0.63,0,4.62,0,28.72,0,0,7.49,0
 84-94,11.15,0,0,0,0,0.74,0.74,13.22,0,3.38,38.94,0
 96-106,15.63,0,0,0,0,0.56,0,20.45,3.38,0,16.04,0
108-118,5.54,1.26,0,2.14,0.75,0.56,0,32.98,0,0,19.34,1.76
120,18.83,0,0,14.69,0,2.19,0,1.46,6.55,0,21.26,0
