stage,eye,neural,somites,visceral_smooth_muscle
 24-34,0,0.95,0.75,0
 48-58,0,0.92,0,0
 60-70,0.81,7.05,0,0
 72-82,2.96,0,0,0
 96-106,0.56,0,0,0
108-118,1.26,2.94,0,2.76
