stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,heart,immune,mesenchyme,muscle,neural,periderm,somites,spinal.cord,vasculature
  3-4,102.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,52.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.93,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0
 10-12,0,35.35,0,0,0,0,0,0,0,0,0,0,3.95,0,0,0,0
 14-21,0,0,0,9.2,0,0,0,25.81,0,0,0,8.72,2.76,0,0,3.7,0
 24-34,0,0,0,14.03,0,0.7,0,29.91,0,0,0,0,43.15,0,1.29,4.62,2.33
 36-46,0,0,0,0,0.58,0,0,0,0.84,0,0,0,51.85,0,0,0.58,0
 48-58,0,0,0,0,1.14,0,0.71,0,0,0,0,0,27.49,0,0,1.67,0
 60-70,0,0,0,0,0.72,0,3.32,0,0,0.83,10.18,0,4.35,0,0,1.89,4.56
 72-82,0,0,0,0,1.2,0,26.82,0,0,0.87,4.71,0,13.63,0,0,0,1.61
 84-94,0,0,2.08,0,42.44,0,6.31,0,2.14,0,0.85,0,40.61,0,0,0,6.54
 96-106,0,0,4.09,0,6.65,0,51.47,0,2.2,9.35,5.13,0.8,54.64,0.69,0,0,0
108-118,0,0,0,0,44.37,0,9.54,0,0,9.68,5.93,0,40.69,0,0,0,7.05
120,0,0,0,0,2.99,0,0,0,0,19.96,14,5.02,65.33,0,0,0,0
