stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.49,6.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,4.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,19.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.24,0,0,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.31,0,0,1.35,10.98,287.04,0,0,0,0,0,0,4.38,2.73,0,0,0,0,0
 24-34,0,0,4.58,1.94,0.75,0,0,0.76,0,0,0,0,0,1.54,0,0,0,0,0,3.39,52,0,0,1.83,49.87,0.84,0,0,0,0,0,1.87,2,1.09,0,0,0,0,0
 36-46,0,0,3.78,0,3.79,0,0,20.51,0,0,0,0.94,0,0,0,0,0,0,0,23.31,15.88,0,0,0,132.02,0,0,0,0,0,0,0,0,4.83,0,0,0,0,0
 48-58,0,0,1.67,0,1.68,0,0,134.79,0,0,0,2.04,0,0,0,0,0,0,0,58.46,14.9,0,0,0.71,187.31,0,0,0,0,1.06,0,0,0,9.03,0,0,0,0,0
 60-70,0,0,2.18,0,0.93,0,0,1854.45,0,0,0,18.02,18.1,0,0,0,0,0,0,36.02,5.23,0,0,0.59,371.79,0,0,1.67,0,0,0,0,0,30.42,0,0,0,0,0
 72-82,0,0,19.26,0,25.52,6.54,0,7280.88,0.59,3.5,2.06,113.9,36.26,1.99,2.15,0,10.44,0,0,27.58,67.25,0,0.96,0.84,1228.46,0,0,2.68,0,1.64,0,0,0,106.7,5.26,0.49,1.97,5.02,14.64
 84-94,0,0,11.32,0,29.67,1.43,1.09,5966.58,2.94,0.74,0,115.73,36.93,1.12,0.8,0,0.7,0.87,0.83,130.7,47.63,0,11.8,5.48,872.39,0,0,0,0,3.96,0,0,0,46.2,0.74,0.64,5.63,6.41,3.81
 96-106,0,0,61.22,0,29.53,12.06,0,9284.07,0,3.88,0,188.61,129.94,3.22,19.65,1.14,1.46,0.86,2.45,51.28,89.41,3.31,1.25,8.02,1210.15,8.39,6.5,4.8,6.23,26,2.06,1.05,0,38.17,4.97,0,1.22,11.66,6.15
108-118,0,0,34.29,0,55.07,8.81,0,10759.46,1.18,0.44,1.76,203.85,70.49,0,16.25,0,20.99,3.39,0.45,168.08,83.11,0.6,2.56,5.84,2142.11,2.93,1.49,4.29,1.83,5.42,0,1.48,0,31.86,1.42,0,0.84,21.41,2.33
120,0,0,11.01,3.17,30.08,17.47,0,6471.26,0,4.24,6.64,275.82,93.23,1.85,21.54,1.77,9.7,0,3.61,31.86,118.31,3.22,0,17.85,2781.51,5.26,6.01,29.5,0,4.01,0,0,0,89.22,1.99,0,3.6,4.16,0
