stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,30.03,122.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,122.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.94,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,6.15,0,0,0,0,10.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.63,0,0,0,7.64,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,8.78,0,0,0,0,0,0,0,0,5.28,0,0,0,0,0,0,0,0,0,0,53.66,0,0,0,10.1,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,7.63,1.61,0,1.72,0,0,0,0,0,0,0.89,0,0,0,0.86,7.7,0,0,3.17,23.57,10.17,0,0.85,1.21,0,0,9.65,0.94,0.87,75.89,6.4,0,0,0,0,0
 24-34,0,0,0.67,3.96,0,0,0,0,0,0.89,0,0,0,0.6,0,0,0,0.62,4.17,0,0,10.39,22.38,9.42,0.6,0.68,0,0,0.63,0,0,0,25.02,13.83,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.58,0,0,0,0,0,0,0,6.96,0,0,0.63,63.45,11.43,0.59,0,0,0,2.28,0,11.83,0,0,20.12,0,0,1.68,0,0
 48-58,0,0,0,0.4,0,0,15.6,1.06,0,7.88,0,0,0,0,0,0,0,0.58,2.42,0,0,1.95,88.5,15.81,0.37,0,0,0,0,0,4.97,1.46,0,10.84,0,0,0.78,0,0
 60-70,0,0,0,6,0.7,0,32.05,0,0,5.04,0.96,0,0,0,0,0.72,0,0,1.75,0,0.88,0,124.15,17.86,0,0.95,0,2.69,2.46,0,5.71,1.01,0,17.77,0,0,5.64,0,0
 72-82,0,0,0,1.38,0,0,40.92,0.92,0,11.61,0,0,0,0,0,0,1.25,0,10.38,0,0,0,179.46,2.48,2.61,0,0,0,0,0,1.9,0,0,20.57,0.53,1.44,0,1.82,0
 84-94,0,0,0,0.6,0.67,0,25.33,0,8.01,2.98,0.58,0,1.75,0,0.58,0,0,0,3.29,1.13,0,0,125.18,10.06,0,0,0,0,0,0,0,0,0,16.5,0.9,0,0.78,0,0
 96-106,0,0,0,0.86,18.47,0,22.51,0,0,4.17,0.66,0,0,0,0,2.32,2,0,11.43,0,0,0.93,120.21,4.77,0.57,0,0,0,0,0,3.91,0,0,15.53,0,0,0,0,0
108-118,0,0,0,2.12,1.14,0,23.83,0,1.54,13.83,0.58,0,0,0,2.45,0,0.48,0,13.38,0,0,1.75,265.36,9.61,0,1.58,0,0,2.01,0,0.47,0.53,0,9.95,0,0,0,0,0
120,0,0,0,1.75,0,2.35,29.64,0,0,15.36,0,0,2.34,1.65,0,0,1.61,0,27.66,0,0,0,360.41,9.92,0,0,0,0,0,0,3.8,0,0,23.19,0,0,0,0,3.58
