stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,6.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.79,0,0,0,10.82,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.22,0,0,0,10.56,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,119.5,0,3.66,0,0,0,4.36,0,0,0,0,0,0,0,0,2.16,1.95,0,0,0,0,0
 24-34,0,0,0,0,1.47,0,1.46,0,0,0,0,0,0.98,0.66,0,0,0,385.68,0,2.06,0,0,1.7,12.44,0,0,0,0,0,4.15,0,0,0,1.59,0,0,0,0,0
 36-46,0,0,0,0.79,0,0,14.16,0,0,0,0,0,0,17.78,1.77,0,0,224.5,0,0,0,0,0,28.72,0,0,0.57,0,0,0,0,0,0,1.05,0,0,0,0,0
 48-58,0,0,0,0,0,0,251.66,0,0,0,1.63,18.49,0.38,25.59,0.44,0,0,135.74,0,3.38,0,0,0,12.93,0,0,0,0,0,0,0,0,0,3.43,0,0,0,0,0
 60-70,0,0,0,6.56,0,0,1236.72,0,0.76,0.83,7.42,214.23,0,166.8,0,0.98,0.69,376.66,1.24,20.8,0,8.04,0.68,77.78,0,1.42,0,0,0,12.83,4.51,0,0,5.17,0,0,13.6,0,0
 72-82,0,0,4.67,12.54,15.28,0,3005.78,0,0,3.11,26.06,1697.07,4.09,190.19,0,24.23,0,498.91,2.32,79.38,0,8.74,4.64,553.16,0.73,0,8.36,0,0,18.04,0,0,0,42.38,0,6.9,50.26,2.49,11.81
 84-94,0,0,27.45,16.27,36.37,0,4844.29,0,7.42,5.51,52.98,3810.09,0,276.12,0.58,0.58,0,515.43,12.13,89.34,0.86,3.01,9.87,468.85,4.66,15.38,7.91,0,0,46.08,0,0,0,54.59,5.01,6.27,47.27,1.26,0.66
 96-106,0,0,50.9,138.37,143.9,0.62,3836.47,3.17,23.1,12.81,116.18,10809.96,5.96,419.59,10.99,17.2,11.63,1477.76,1.06,240.09,12.86,15.08,26.72,1622.7,2.39,12.42,14.91,0,10.34,145.31,6.04,4.52,0,34.72,14.95,9.51,116.28,6.55,29.9
108-118,0,0,38.05,108.32,56.13,6.9,4463.85,6.97,12.6,14.23,120.2,18015,1.7,267.47,10.74,11.94,4.5,3458.65,3.31,285.78,0,12.99,14.89,2078.08,12.93,14.67,7.08,0,4.78,66.09,0.98,0.43,0,22.37,15.53,4.86,60.04,12.76,13.29
120,26.02,0,69.12,149.75,6.03,15.97,4607.04,3.47,41.62,5.21,131.65,11951.22,11.95,327.18,1.4,21.02,1.76,3296.5,0,201.77,12.2,13.3,13.08,1939.05,6.34,12.69,7.25,0,0,53.19,0,0,0,40.79,1.81,11.89,170.62,3.69,21.49
