stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,147.98,3959.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,332.95,0,0,0,0,0,0,0,0,0,0
  5-6,151.08,2588.68,0,0,0,0,0,0,0,0,18.67,0,0,0,0,0,0,0,0,78.81,21.89,0,0,26.92,165.4,0,0,0,0,0,0,0,0,0,0
  7-9,18.77,48.77,0,24.78,0,0,180.23,0,0,0,7.6,0,0,0,0,0,0,0,0,1517.61,9.88,0,0,329.61,17.87,36.04,0,0,0,0,0,0,0,0,0
 10-12,0,34.79,0,10.41,0,0,102.71,0,0,0,0,0,0,0,0,0,0,0,0,1588.84,34.45,0,0,256.13,4.49,6.41,0,33.14,0,0,0,0,0,0,0
 14-21,0,0,2.14,7.53,57.32,10.07,5.74,0,30.2,3.84,1.95,0,1.79,0,0,16.36,0,0,3,228.43,5.45,20.06,26.65,7.75,5.98,5.24,6.79,155.53,2.44,138.04,0,0,0,0,0
 24-34,0,0,2.41,3.46,10.08,0,27.17,0.9,51.07,5.56,0,1.29,1.31,6.97,0.99,13.27,0,0,7.03,504.49,0,54.1,11.23,0,3.87,0,0,41.88,3.89,151.62,0,0,2.34,0,0
 36-46,0,0,2.35,0.56,2.39,0,33.71,0,56.2,1.29,0,0,0,0,1.09,11.23,0,0,3.45,382.71,0,22.3,15.07,0,6.66,0,0,35.31,0,117.78,0,0,1.69,0,2.33
 48-58,0,0,0,0,4.35,0.49,58.47,0,75.33,0.54,0,0,0.44,0.5,2.73,14.28,0,1.15,0,260.51,0,14.07,9.18,0,0.43,0,0,5.08,0,69.74,0,0,1.96,0,0.47
 60-70,0,0,0,0,6.35,0,44.03,0,41.81,0.68,0,0,0,0,5.17,11.98,0,0,0,141.63,0,13.71,1.55,0,0,0,0,1.75,0,28.58,1.62,0,0,2.72,5.69
 72-82,0,0,1.49,0,1.2,0,35.51,0,31.75,2.07,0,0,0,1.16,0,11.41,0,0,2.48,107.22,0,10.13,8.85,0,5.05,0,0,1.94,0,14.52,0,0,1.89,0,0
 84-94,0,0,1.05,1.16,4.87,0,23.28,0,30.21,0.98,0,2.99,0,0.78,0.6,15.89,0.58,0.96,2.35,66.91,0,23.99,2.98,0,1.14,0,0,11.39,0,26.33,0.55,0,4.14,0,0
 96-106,0,0,2.22,0,5.6,0.78,31.33,0,38.6,1.16,0,7.25,0.56,7.61,0,5.26,0,3.93,0,69.42,0,25.13,16.5,0,0.81,1.06,0,6.28,0,5.98,6.92,1.22,1.19,0.69,0
108-118,0,0,3.86,0,2,0.72,10.99,0,28.52,0.68,0,7.51,0,3.03,0,10.98,0,0,0,98.59,0,19.66,15.21,0,0,1.66,0,3.63,0,4.62,1.55,0,10.38,0,0
120,0,0,0,0,0,0,0,0,30.09,0,0,1.49,0,5.54,0,0,0,0,0,76.55,0,4.35,3.14,0,0,0,0,3.92,0,1.34,0,0,1.07,0,0
