stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,157.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,27.74,140.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.83,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,9.22,0,0,0,0,0,0,0,0,0,0,0,0,0,39.22,0,0,0,3.6,0,27.02,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,4.69,0,3.94,0,0,0,0,0,0,0,0,0,0,0,0,0,334.29,5.8,0,0,19.17,0,38.83,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.32,42.55,0,0,0,0.88,0,0,0,0,5.69,0,0,0,0,0,0,0,2.47,0,0,0,0,0,228.1,0,0,0,0,0,1.76,0,0
 24-34,0,0,0,0,30.14,1.24,0,1.76,2.07,0,0,0,0,10.51,0,2.73,0,1.74,8.82,2.64,0.94,25.81,0,12.62,0,0,0,345.73,0,0,1.01,1.11,0,1.61,0,0
 36-46,0,0,0,0,4.98,0,0,1.63,3.85,0,1.84,0,0,0.86,0,1.87,0,4.26,2.13,14.68,0,66.58,0,12.21,0,0,0,305.56,0.81,0,0,1.26,0,0,0,1.47
 48-58,0,0,0,0,40.37,0,0,3.14,10.25,0,0.76,0,0,0.86,0,8.17,0,11.21,0,4.21,0,48.86,0,17.89,0.58,0,0,170.51,0,0,0,1.96,0,0.66,0,1.49
 60-70,0,0,0.62,0,35.34,1.64,0,3.31,10.11,0,0,3.59,0,5.05,0,4.89,0,23.41,1.85,9.03,0,2.84,0,8.8,1.5,0,0,272.26,0,0,0,0,2.05,0.72,1.46,4.42
 72-82,0,0,1.05,0,21.27,0,0,9.96,5.23,11.42,8.99,0.59,0,1.35,0,17.3,0,3.4,2.64,16.56,0,12.34,0,19.94,0.69,0,0,271.04,0,0,0,0,0.74,0.86,0,4.03
 84-94,0,0,0.66,0,51.66,2.21,0,2.65,7.16,0,11.85,0.66,0,6.52,0,4.14,0,5.67,6.61,21.23,0,14.62,0,24.01,0,0,0,753.04,0,0.58,0,1.98,5.31,0,0,7.59
 96-106,0,0,1.38,0,80.02,0,0,10.19,15.78,5.92,19.15,1.06,0.93,11.6,2.09,18.27,0.76,2.4,10.14,36.7,0.65,24.64,0,34.32,14.25,0,1.45,904.85,0,0,0,0,7.38,0,0,17.48
108-118,0,0,1.18,0.74,103.35,0,2.64,5.64,21.22,1.98,26.22,0,1,12.32,0,16.73,0.55,3.94,4.86,27.27,0,39.17,0,10.55,0.87,0,0,661.66,0,0.46,0,4.67,12.21,0,0,5.73
120,0,0,0,0,91.1,2.06,0,0,26.52,1.43,18.16,0,0,17.78,0,12.3,0,0,11.12,37.14,5.1,40.63,0,58.02,0,0,0,570.74,0,5.04,0,0,9.12,0,0,1.1
