stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,113.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,20,42.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.71,0,0,0,8.68,0,0,0,0,0,0,0,0,0
 14-21,0,0,3.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.94,0,0,0,0,0,0,0,7,0,0,0,0,0
 24-34,0,0,2.22,1.28,0,23.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,0,3.81,0,0,0,2.52,0,24.74,0,0,0.66,0,0
 36-46,0,0,0,0,0,105.88,0,0,0,0,0,0,0,0,0,0,0,0,1.79,0,0,0,530.7,0,6.91,0,0,0,0,0,63.66,0,0,0,0,0
 48-58,0,0,0,1.38,0,1031.28,0,0,0,5.5,0,0,0,0,0,0,0,7.53,4.09,0,0.46,0.51,747.75,0,0,0,0,0,0,0,79.84,0,0,0,0,0
 60-70,0,0,0,0,0.69,6951.44,0,0,0.91,9.4,0,0,0,0,0,0,0,0,17.61,1.43,0,5.77,1256.29,0,2.62,0,0,0,0,0,52.26,0,0,0.72,0,9.87
 72-82,0,0,0.5,39.95,15.95,13377.25,6.55,0.7,6.7,112.94,0.68,0,11.99,1.11,0,0,3.56,0,66.31,0,3.49,2.87,1923.43,0,1.5,2.35,0,0.87,7.32,0,92.7,0,0.61,14.38,4.77,22.34
 84-94,5.55,0,0,21.6,7.4,8705.94,0,1.3,4.15,116.43,0.66,5.88,0.93,1.18,0.71,3.15,0,0,42.68,0,1.84,5.51,1166.05,0,0,1.75,0,0,9.12,0.73,68.42,0,3.26,4.55,1.66,0.69
 96-106,0,0,0,26.33,20.08,9892.32,0,1.52,9.04,81.61,0,1.16,10.58,2.19,5.45,0.84,0,0.75,39.49,0,0,3.74,1028.5,0.79,0,1.26,0,3.47,10.03,0,29.41,0,9.12,6.19,2.19,8.34
108-118,0,0,0,31.22,7.04,6625.93,6.53,0,0.94,60.99,0.63,0,0.91,0,0,0,2.31,0,32.86,0,1.5,5.02,1230.82,0,1.97,7.56,0,0,7.23,0,29.86,0.71,0,2.99,3.09,4.27
120,0,0,0,57.23,20.22,3279.22,1.01,0,1.56,103.45,1.92,0,13.06,0,0,0,0,1.6,37.38,0,0,0,1213.42,0,2.28,0,0,0,17.79,0,3.82,0,0,0,0,8.94
