stage,blastomeres,glial,gut,neural,paraxial.mesoderm,periderm
  3-4,0,0,0,0,0,23.85
  5-6,8.35,0,0,0,0,234.9
  7-9,0,0,0,28.33,4.85,37.44
 10-12,0,0,0,0,0,23.44
 14-21,0,0,0,0.83,0,5.13
 36-46,0,0,0,0,0,0.64
 48-58,0,0,0,2.17,0,0
 84-94,0,0,0.77,0,0,0
 96-106,0,1.4,1.13,13.99,0,0
108-118,0,0,0,1.63,0,0
